Note,Onset (ms),Offset (ms),Time_duration (ms),Score_duration,Time-Signature,Voice,Movment,Measure,Repeated
0,0,1206.0444444444445,1206.0444444444445,0,0,.,x,x,.
A4,1206.0444444444445,2548.6222222222223,1342.5777777777778,1.0,3/4,x,1,1,0
C5,2548.6222222222223,4073.2444444444445,1524.6222222222223,1.0,3/4,x,1,1,0
E5,4073.2444444444445,5620.622222222222,1547.3777777777777,1.0,3/4,x,1,1,0
F4,5620.622222222222,7395.555555555556,1774.9333333333334,1.0,3/4,x,1,2,0
0,7395.555555555556,7827.911111111111,432.35555555555493,0.25,3/4,.,1,2,0
E5,7827.911111111111,8214.755555555555,386.8444444444449,0.25,3/4,x,1,2,0
D5,8214.755555555555,8510.577777777778,295.822222222223,0.25,3/4,x,1,2,0
C♯5,8510.577777777778,8624.355555555554,113.77777777777555,0.25,3/4,x,1,2,0
D5,8624.355555555554,9011.2,386.8444444444467,0.25,3/4,x,1,2,0
F5,9011.2,9147.733333333334,136.53333333333285,0.25,3/4,x,1,2,0
A5,9147.733333333334,9352.533333333333,204.79999999999927,0.25,3/4,x,1,2,0
D6,9352.533333333333,9693.866666666667,341.33333333333394,0.25,3/4,x,1,2,0
G4,9693.866666666667,11059.2,1365.333333333334,1.0,3/4,x,1,3,0
B4,11059.2,12310.755555555555,1251.5555555555547,1.0,3/4,x,1,3,0
D5,12310.755555555555,13926.4,1615.6444444444442,1.0,3/4,x,1,3,0
E4,13926.4,15564.8,1638.3999999999996,1.0,3/4,x,1,4,0
0,15564.8,16110.933333333332,546.1333333333332,0.25,3/4,.,1,4,0
D5,16110.933333333332,16634.31111111111,523.3777777777777,0.25,3/4,x,1,4,0
C5,16634.31111111111,16816.355555555558,182.04444444444744,0.25,3/4,x,1,4,0
B4,16816.355555555558,16998.4,182.0444444444438,0.25,3/4,x,1,4,0
C5,16998.4,17430.755555555555,432.355555555554,0.25,3/4,x,1,4,0
E5,17430.755555555555,17567.28888888889,136.53333333333285,0.25,3/4,x,1,4,0
G5,17567.28888888889,17817.6,250.31111111111022,0.25,3/4,x,1,4,0
C6,17817.6,18249.955555555556,432.35555555555766,0.25,3/4,x,1,4,0
F4,18249.955555555556,19683.55555555556,1433.6000000000022,1.0,3/4,x,1,5,0
A4,19683.55555555556,20912.355555555558,1228.7999999999993,1.0,3/4,x,1,5,0
C5,20912.355555555558,22436.977777777778,1524.6222222222204,1.0,3/4,x,1,5,0
D4,22436.977777777778,23392.71111111111,955.7333333333336,0.25,3/4,x,1,6,0
C5,23392.71111111111,23779.555555555555,386.84444444444307,0.25,3/4,x,1,6,0
B4,23779.555555555555,24052.622222222224,273.06666666666933,0.25,3/4,x,1,6,0
A4,24052.622222222224,24280.177777777775,227.5555555555511,0.25,3/4,x,1,6,0
C5,24280.177777777775,24689.777777777777,409.6000000000022,0.25,3/4,x,1,6,0
A4,24689.777777777777,24962.844444444447,273.06666666666933,0.25,3/4,x,1,6,0
G♯4,24962.844444444447,25281.422222222223,318.57777777777665,0.25,3/4,x,1,6,0
A4,25281.422222222223,25486.22222222222,204.79999999999563,0.25,3/4,x,1,6,0
G♯4,25486.22222222222,25736.533333333333,250.31111111111386,0.25,3/4,x,1,6,0
A4,25736.533333333333,25918.577777777777,182.0444444444438,0.25,3/4,x,1,6,0
G♯4,25918.577777777777,26146.133333333335,227.55555555555839,0.25,3/4,x,1,6,0
A4,26146.133333333335,26487.466666666667,341.3333333333321,0.25,3/4,x,1,6,0
E4,26487.466666666667,27192.888888888887,705.4222222222197,0.25,3/4,x,1,7,0
A4,27192.888888888887,27511.466666666667,318.5777777777803,0.25,3/4,x,1,7,0
G♯4,27511.466666666667,27739.022222222222,227.55555555555475,0.25,3/4,x,1,7,0
A4,27739.022222222222,27989.333333333336,250.31111111111386,0.25,3/4,x,1,7,0
C5,27989.333333333336,28444.44444444444,455.11111111110586,0.25,3/4,x,1,7,0
A4,28444.44444444444,28763.022222222222,318.5777777777803,0.25,3/4,x,1,7,0
G♯4,28763.022222222222,29058.844444444443,295.82222222222117,0.25,3/4,x,1,7,0
A4,29058.844444444443,29263.644444444446,204.8000000000029,0.25,3/4,x,1,7,0
