Note,Onset (ms),Offset (ms),Time_duration (ms),Score_duration,Time-Signature,Voice,Movment,Measure,Repeated
0,0,1319.8222222222223,1319.8222222222223,0,0,.,x,x,.
E4,1319.8222222222223,2844.4444444444443,1524.622222222222,1.0,3/4,B,1,1,0
G♯5,2844.4444444444443,3982.222222222222,1137.7777777777778,1.0,3/4,S,1,1,0
A5,3982.222222222222,5051.733333333333,1069.5111111111105,0.75,3/4,x,1,1,0
B5,5051.733333333333,5347.555555555555,295.8222222222221,0.25,3/4,x,1,1,0
F♯4,5347.555555555555,6735.644444444444,1388.0888888888894,1.0,3/4,B,1,2,0
D♯5,6735.644444444444,8032.711111111111,1297.0666666666666,1.0,3/4,x,1,2,0
E5,8032.711111111111,8874.666666666666,841.9555555555553,0.75,3/4,x,1,2,0
F♯5,8874.666666666666,9147.733333333334,273.0666666666675,0.25,3/4,S,1,2,0
G♯4,9147.733333333334,10194.488888888889,1046.7555555555555,0.75,3/4,B,1,3,0
B4,10194.488888888889,10444.800000000001,250.31111111111204,0.25,3/4,x,1,3,0
E5,10444.800000000001,11559.822222222221,1115.02222222222,0.75,3/4,x,1,3,0
D♯5,11559.822222222221,11764.622222222222,204.8000000000011,0.25,3/4,x,1,3,0
E5,11764.622222222222,13312.0,1547.3777777777777,1.0,3/4,S,1,3,0
A4,13312.0,14404.266666666666,1092.2666666666664,0.75,3/4,x,1,4,0
C♯5,14404.266666666666,14654.577777777778,250.31111111111204,0.25,3/4,S,1,4,0
D♯4,14654.577777777778,15587.555555555555,932.9777777777763,0.75,3/4,B,1,4,0
B4,15587.555555555555,16179.2,591.644444444446,0.25,3/4,S,1,4,0
A4,16179.2,16884.622222222224,705.4222222222234,0.75,3/4,x,1,4,0
G♯4,16884.622222222224,16998.4,113.77777777777737,0.125,3/4,x,1,4,0
A4,16998.4,17112.17777777778,113.77777777777737,0.125,3/4,S,1,4,0
E4,17112.17777777778,18272.71111111111,1160.5333333333328,0.75,3/4,B,1,5,0
A4,18272.71111111111,18545.77777777778,273.06666666666933,0.25,3/4,x,1,5,0
G♯4,18545.77777777778,20070.399999999998,1524.6222222222168,1.0,3/4,S,1,5,0
0,20070.399999999998,21595.022222222222,1524.622222222224,1.0,3/4,.,1,5,0
D♯4,21595.022222222222,23028.62222222222,1433.5999999999985,1.0,3/4,x,1,6,0
F♯4,23028.62222222222,24325.688888888886,1297.0666666666657,1.0,3/4,x,1,6,0
G♯4,24325.688888888886,25326.933333333334,1001.2444444444482,0.75,3/4,x,1,6,0
A4,25326.933333333334,25600.0,273.0666666666657,0.25,3/4,x,1,6,0
E4,25600.0,26874.31111111111,1274.3111111111102,1.0,3/4,x,1,7,0
G♯4,26874.31111111111,28034.844444444447,1160.5333333333365,0.75,3/4,x,1,7,0
F♯4,28034.844444444447,28285.155555555553,250.31111111110658,0.25,3/4,x,1,7,0
