Note,Onset (ms),Offset (ms),Time_duration (ms),Score_duration,Time-Signature,Voice,Movment,Measure,Repeated
0,0,1342.5777777777778,1342.5777777777778,0,0,.,x,x,.
A4,1342.5777777777778,2776.177777777778,1433.6000000000001,1.0,3/4,x,1,1,0
C5,2776.177777777778,4073.2444444444445,1297.0666666666666,1.0,3/4,x,1,1,0
E5,4073.2444444444445,5506.844444444445,1433.6000000000004,1.0,3/4,x,1,1,0
F4,5506.844444444445,7600.355555555556,2093.511111111111,1.0,3/4,x,1,2,0
0,7600.355555555556,8169.2444444444445,568.8888888888887,0.25,3/4,.,1,2,0
E5,8169.2444444444445,8510.577777777778,341.33333333333394,0.25,3/4,x,1,2,0
D5,8510.577777777778,8738.133333333333,227.55555555555475,0.25,3/4,x,1,2,0
C♯5,8738.133333333333,9011.2,273.0666666666675,0.25,3/4,x,1,2,0
D5,9011.2,9329.777777777777,318.57777777777665,0.25,3/4,x,1,2,0
F5,9329.777777777777,9625.6,295.822222222223,0.25,3/4,x,1,2,0
A5,9625.6,10057.955555555554,432.355555555554,0.25,3/4,x,1,2,0
D6,10057.955555555554,10763.377777777778,705.4222222222234,0.25,3/4,x,1,2,0
G4,10763.377777777778,12310.755555555555,1547.3777777777777,1.0,3/4,x,1,3,0
B4,12310.755555555555,13539.555555555555,1228.7999999999993,1.0,3/4,x,1,3,0
D5,13539.555555555555,15086.933333333332,1547.3777777777777,1.0,3/4,x,1,3,0
E4,15086.933333333332,17021.155555555557,1934.2222222222244,1.0,3/4,x,1,4,0
0,17021.155555555557,17703.82222222222,682.6666666666642,0.25,3/4,.,1,4,0
D5,17703.82222222222,18113.422222222223,409.6000000000022,0.25,3/4,x,1,4,0
C5,18113.422222222223,18363.733333333334,250.31111111111022,0.25,3/4,x,1,4,0
B4,18363.733333333334,18705.066666666666,341.3333333333321,0.25,3/4,x,1,4,0
C5,18705.066666666666,19114.666666666668,409.6000000000022,0.25,3/4,x,1,4,0
E5,19114.666666666668,19387.733333333334,273.0666666666657,0.25,3/4,x,1,4,0
G5,19387.733333333334,19706.311111111114,318.5777777777803,0.25,3/4,x,1,4,0
