Note,Onset (ms),Offset (ms),Time_duration (ms),Score_duration,Time-Signature,Voice,Movment,Measure,Repeated
0,0,1410.8444444444444,1410.8444444444444,0,0,.,x,x,.
C5,1410.8444444444444,1729.4222222222222,318.5777777777778,0.5,4/4,B,1,1,0
E5,1729.4222222222222,1956.9777777777776,227.55555555555543,0.5,4/4,S,1,2,0
C5,1956.9777777777776,2093.5111111111114,136.53333333333376,0.5,4/4,B,1,2,0
F5,2093.5111111111114,2275.5555555555557,182.04444444444425,0.5,4/4,S,1,2,0
C5,2275.5555555555557,2434.8444444444444,159.28888888888878,0.5,4/4,B,1,2,0
G5,2434.8444444444444,2594.133333333333,159.28888888888878,0.5,4/4,S,1,2,0
C5,2594.133333333333,2730.6666666666665,136.5333333333333,0.5,4/4,B,1,2,0
E5,2730.6666666666665,2867.2,136.5333333333333,0.5,4/4,S,1,2,0
C5,2867.2,3003.7333333333336,136.53333333333376,0.5,4/4,B,1,2,0
F5,3003.7333333333336,3117.511111111111,113.77777777777737,0.5,4/4,S,1,3,0
C5,3117.511111111111,3231.288888888889,113.77777777777783,0.5,4/4,B,1,3,0
G5,3231.288888888889,3367.822222222222,136.5333333333333,0.5,4/4,S,1,3,0
C5,3367.822222222222,3481.6,113.77777777777783,0.5,4/4,B,1,3,0
A5,3481.6,3595.3777777777777,113.77777777777783,0.5,4/4,S,1,3,0
C5,3595.3777777777777,3709.1555555555556,113.77777777777783,0.5,4/4,B,1,3,0
G5,3709.1555555555556,3845.688888888889,136.5333333333333,0.5,4/4,S,1,3,0
C5,3845.688888888889,3982.222222222222,136.5333333333333,0.5,4/4,B,1,3,0
A5,3982.222222222222,4096.0,113.77777777777783,0.5,4/4,S,1,4,0
C5,4096.0,4187.022222222223,91.02222222222281,0.5,4/4,B,1,4,0
B5,4187.022222222223,4300.8,113.77777777777737,0.5,4/4,S,1,4,0
C5,4300.8,4369.066666666667,68.26666666666642,0.5,4/4,B,1,4,0
C6,4369.066666666667,4596.622222222222,227.55555555555566,0.5,4/4,S,1,4,0
C5,4596.622222222222,4755.911111111111,159.28888888888832,0.5,4/4,x,1,4,0
E5,4755.911111111111,4846.933333333333,91.02222222222281,0.5,4/4,x,1,4,0
G5,4846.933333333333,5006.222222222222,159.28888888888832,0.5,4/4,x,1,4,0
