Note,Onset (ms),Offset (ms),Time_duration (ms),Score_duration,Time-Signature,Voice,Movment,Measure,Repeated
0,0,2025.2444444444445,2025.2444444444445,0,0,.,x,x,.
G4,2025.2444444444445,5211.022222222223,3185.7777777777783,2.0,3/2,x,1,1,0
E♭5,5211.022222222223,5870.933333333333,659.9111111111106,0.5,3/2,x,1,1,0
D5,5870.933333333333,6963.2,1092.2666666666664,1.5,3/2,x,1,1,0
C5,6963.2,7554.844444444444,591.6444444444442,0.5,3/2,x,1,1,0
B♭4,7554.844444444444,9124.977777777778,1570.1333333333341,1.5,3/2,x,1,1,0
A4,9124.977777777778,10126.22222222222,1001.2444444444427,0.0,3/2,x,1,2,0
G4,10126.22222222222,12743.11111111111,2616.8888888888887,4.0,3/2,x,1,2,0
0,12743.11111111111,14700.08888888889,1956.97777777778,2.0,3/2,.,1,2,0
F♯4,14700.08888888889,16702.577777777777,2002.4888888888872,2.0,3/2,x,1,3,0
D5,16702.577777777777,17863.11111111111,1160.5333333333328,0.5,3/2,x,1,3,0
C5,17863.11111111111,18909.866666666665,1046.7555555555555,1.5,3/2,x,1,3,0
B♭4,18909.866666666665,19751.822222222225,841.9555555555598,0.5,3/2,x,1,3,0
A4,19751.822222222225,21640.533333333333,1888.711111111108,1.5,3/2,x,1,3,0
D4,21640.533333333333,21663.28888888889,22.755555555555475,4.0,3/2,x,1,4,0
0,21663.28888888889,21981.866666666665,318.57777777777665,2.0,3/2,.,1,4,0
0,21981.866666666665,22004.62222222222,22.755555555555475,0,0,.,x,x,.
G5,22004.62222222222,22027.37777777778,22.755555555559113,0.5,3/4,x,2,5,0
D5,22027.37777777778,30014.577777777777,7987.199999999997,0.5,3/4,x,2,5,0
D5,30014.577777777777,30037.333333333332,22.755555555555475,0.5,3/4,x,2,5,0
D5,30037.333333333332,30060.088888888888,22.755555555555475,0.5,3/4,x,2,5,0
D5,30060.088888888888,30082.844444444443,22.755555555555475,0.25,3/4,x,2,5,0
E♭5,30082.844444444443,30219.377777777776,136.53333333333285,0.25,3/4,x,2,5,0
C5,30219.377777777776,30287.644444444446,68.26666666667006,0.25,3/4,x,2,5,0
D5,30287.644444444446,30446.933333333334,159.28888888888832,0.25,3/4,x,2,5,0
E♭5,30446.933333333334,30970.31111111111,523.3777777777759,0.5,3/4,x,2,6,0
C5,30970.31111111111,31516.444444444445,546.133333333335,0.5,3/4,x,2,6,0
C5,31516.444444444445,31539.2,22.755555555555475,0.5,3/4,x,2,6,0
C5,31539.2,31561.955555555556,22.755555555555475,0.5,3/4,x,2,6,0
C5,31561.955555555556,31584.71111111111,22.755555555555475,0.25,3/4,x,2,6,0
D5,31584.71111111111,31698.48888888889,113.77777777777737,0.25,3/4,x,2,6,0
E♭5,31698.48888888889,31766.755555555555,68.26666666666642,0.25,3/4,x,2,6,0
C5,31766.755555555555,31926.044444444444,159.28888888888832,0.25,3/4,x,2,6,0
D5,31926.044444444444,32426.666666666668,500.6222222222241,0.5,3/4,x,2,7,0
D4,32426.666666666668,32449.422222222223,22.755555555555475,0.5,3/4,x,2,7,0
C5,32449.422222222223,32768.0,318.57777777777665,0.5,3/4,x,2,7,0
D4,32768.0,32950.044444444444,182.0444444444438,0.5,3/4,x,2,7,0
A5,32950.044444444444,33245.86666666666,295.82222222221753,0.5,3/4,x,2,7,0
B♭4,33245.86666666666,33314.13333333333,68.26666666667006,0.25,3/4,x,2,7,0
A4,33314.13333333333,33450.666666666664,136.53333333333285,0.25,3/4,x,2,7,0
B♭4,33450.666666666664,33723.73333333334,273.066666666673,0.5,3/4,x,2,8,0
G4,33723.73333333334,33996.8,273.0666666666657,0.5,3/4,x,2,8,0
D5,33996.8,34474.666666666664,477.86666666666133,0.5,3/4,x,2,8,0
G4,34474.666666666664,34497.422222222216,22.755555555551837,0.5,3/4,b,2,8,0
G5,34497.422222222216,34747.73333333334,250.31111111112114,0.5,3/4,x,2,8,0
G4,34747.73333333334,35043.555555555555,295.82222222221753,0.5,3/4,b,2,8,0
B♭5,35043.555555555555,35566.933333333334,523.3777777777796,0.5,3/4,x,2,9,0
G4,35566.933333333334,35589.688888888886,22.755555555551837,0.25,3/4,b,2,9,0
A4,35589.688888888886,35612.444444444445,22.755555555559113,0.25,3/4,b,2,9,0
B♭4,35612.444444444445,35794.48888888889,182.0444444444438,0.5,3/4,x,2,9,0
A4,35794.48888888889,36022.044444444444,227.55555555555475,0.5,3/4,x,2,9,0
