Note,Onset (ms),Offset (ms),Time_duration (ms),Score_duration,Time-Signature,Voice,Movment,Measure,Repeated
0,0,2298.311111111111,2298.311111111111,0,0,.,x,x,.
A4,2298.311111111111,3777.422222222222,1479.1111111111109,1.0,3/4,x,1,1,0
C5,3777.422222222222,5506.844444444445,1729.422222222223,1.0,3/4,x,1,1,0
E5,5506.844444444445,6758.4,1251.5555555555547,1.0,3/4,x,1,1,0
F4,6758.4,9648.355555555556,2889.955555555556,1.0,3/4,x,1,2,0
0,9648.355555555556,9671.111111111111,22.755555555555475,0.25,3/4,.,1,2,0
E5,9671.111111111111,10057.955555555554,386.84444444444307,0.25,3/4,x,1,2,0
D5,10057.955555555554,10353.777777777777,295.822222222223,0.25,3/4,x,1,2,0
C♯5,10353.777777777777,10695.11111111111,341.3333333333321,0.25,3/4,x,1,2,0
D5,10695.11111111111,10990.933333333332,295.822222222223,0.25,3/4,x,1,2,0
F5,10990.933333333332,11491.555555555555,500.62222222222226,0.25,3/4,x,1,2,0
A5,11491.555555555555,11514.31111111111,22.755555555555475,0.25,3/4,x,1,2,0
D6,11514.31111111111,12174.22222222222,659.9111111111106,0.25,3/4,x,1,2,0
G4,12174.22222222222,13494.044444444444,1319.822222222223,1.0,3/4,x,1,3,0
B4,13494.044444444444,14677.333333333334,1183.2888888888901,1.0,3/4,x,1,3,0
D5,14677.333333333334,16361.244444444445,1683.9111111111106,1.0,3/4,x,1,3,0
E4,16361.244444444445,19137.422222222223,2776.177777777779,1.0,3/4,x,1,4,0
0,19137.422222222223,19160.17777777778,22.755555555555475,0.25,3/4,.,1,4,0
D5,19160.17777777778,19683.55555555556,523.3777777777796,0.25,3/4,x,1,4,0
C5,19683.55555555556,20024.888888888887,341.3333333333285,0.25,3/4,x,1,4,0
B4,20024.888888888887,20252.44444444444,227.55555555555475,0.25,3/4,x,1,4,0
C5,20252.44444444444,20730.31111111111,477.8666666666686,0.25,3/4,x,1,4,0
E5,20730.31111111111,21003.37777777778,273.06666666666933,0.25,3/4,x,1,4,0
G5,21003.37777777778,21276.444444444445,273.0666666666657,0.25,3/4,x,1,4,0
C6,21276.444444444445,22072.88888888889,796.4444444444453,0.25,3/4,x,1,4,0
F4,22072.88888888889,23324.444444444445,1251.5555555555547,1.0,3/4,x,1,5,0
A4,23324.444444444445,24484.977777777778,1160.5333333333328,1.0,3/4,x,1,5,0
C5,24484.977777777778,25964.088888888888,1479.1111111111095,1.0,3/4,x,1,5,0
D4,25964.088888888888,27556.977777777778,1592.8888888888905,0.25,3/4,x,1,6,0
C5,27556.977777777778,28125.86666666667,568.8888888888905,0.25,3/4,x,1,6,0
B4,28125.86666666667,28307.91111111111,182.04444444444016,0.25,3/4,x,1,6,0
A4,28307.91111111111,28603.733333333334,295.8222222222248,0.25,3/4,x,1,6,0
C5,28603.733333333334,29286.4,682.6666666666679,0.25,3/4,x,1,6,0
A4,29286.4,29536.71111111111,250.31111111111022,0.25,3/4,x,1,6,0
G♯4,29536.71111111111,30060.088888888888,523.3777777777759,0.25,3/4,x,1,6,0
A4,30060.088888888888,30082.844444444443,22.755555555555475,0.25,3/4,x,1,6,0
G♯4,30082.844444444443,31448.17777777778,1365.3333333333358,0.25,3/4,x,1,6,0
A4,31448.17777777778,31561.955555555556,113.77777777777737,0.25,3/4,x,1,6,0
G♯4,31561.955555555556,31698.48888888889,136.53333333333285,0.25,3/4,x,1,6,0
A4,31698.48888888889,31721.244444444445,22.755555555555475,0.25,3/4,x,1,6,0
E4,31721.244444444445,32472.17777777778,750.9333333333343,0.25,3/4,x,1,7,0
A4,32472.17777777778,32631.466666666667,159.28888888888832,0.25,3/4,x,1,7,0
G♯4,32631.466666666667,32950.044444444444,318.57777777777665,0.25,3/4,x,1,7,0
