Note,Onset (ms),Offset (ms),Time_duration (ms),Score_duration,Time-Signature,Voice,Movment,Measure,Repeated
0,0,1956.9777777777776,1956.9777777777776,0,0,.,x,x,.
E5,1956.9777777777776,2912.711111111111,955.7333333333336,0.5,4/4,S,1,1,0
E4,2912.711111111111,3345.066666666667,432.35555555555584,0.25,4/4,b,1,1,0
F♯4,3345.066666666667,3686.4,341.33333333333303,0.25,4/4,b,1,1,0
G4,3686.4,4141.511111111111,455.11111111111086,0.25,4/4,B,1,1,0
E5,4141.511111111111,4414.577777777778,273.0666666666666,0.25,4/4,S,1,1,0
A4,4414.577777777778,4824.177777777778,409.60000000000036,0.25,4/4,B,1,1,0
E5,4824.177777777778,5142.7555555555555,318.57777777777756,0.25,4/4,S,1,1,0
B4,5142.7555555555555,5961.955555555556,819.2000000000007,0.25,4/4,B,1,1,0
E5,5961.955555555556,6007.466666666667,45.51111111111095,0.25,4/4,S,1,1,0
D♯5,6007.466666666667,6030.222222222222,22.755555555554565,0.5,4/4,S,1,1,0
0,6030.222222222222,6303.288888888889,273.0666666666675,0.5,4/4,.,1,1,0
D♯5,6303.288888888889,8055.466666666666,1752.177777777777,0.25,4/4,x,1,1,0
E5,8055.466666666666,8305.777777777777,250.31111111111113,0.25,4/4,x,1,1,0
F♯5,8305.777777777777,9079.466666666667,773.6888888888898,0.25,4/4,x,1,2,0
B4,9079.466666666667,9216.0,136.53333333333285,0.25,4/4,B,1,2,0
A4,9216.0,9671.111111111111,455.1111111111113,0.25,4/4,B,1,2,0
C6,9671.111111111111,9966.933333333334,295.822222222223,0.25,4/4,S,1,2,0
G4,9966.933333333334,10376.533333333333,409.59999999999854,0.25,4/4,b,1,2,0
B5,10376.533333333333,10626.844444444445,250.31111111111204,0.25,4/4,S,1,2,0
F♯4,10626.844444444445,11104.711111111112,477.8666666666668,0.25,4/4,b,1,2,0
A5,11104.711111111112,11446.044444444444,341.3333333333321,0.25,4/4,S,1,2,0
E4,11446.044444444444,12105.955555555554,659.9111111111106,0.25,4/4,b,1,2,0
G5,12105.955555555554,12128.71111111111,22.755555555555475,0.125,4/4,S,1,2,0
F♯5,12128.71111111111,12265.244444444445,136.53333333333467,0.125,4/4,S,1,2,0
E5,12265.244444444445,12288.0,22.755555555555475,0.5,4/4,S,1,2,0
0,12288.0,14176.71111111111,1888.7111111111099,0.25,4/4,.,1,2,0
F♯5,14176.71111111111,14290.488888888889,113.77777777777919,0.25,4/4,x,1,2,0
G5,14290.488888888889,14745.6,455.1111111111113,0.25,4/4,x,1,2,0
B4,14745.6,15064.177777777777,318.57777777777665,0.25,4/4,x,1,2,0
C5,15064.177777777777,15587.555555555555,523.3777777777777,0.25,4/4,x,1,3,0
A5,15587.555555555555,15951.644444444444,364.0888888888894,0.25,4/4,x,1,3,0
F♯5,15951.644444444444,16270.222222222223,318.57777777777846,0.25,4/4,x,1,3,0
G5,16270.222222222223,16611.555555555555,341.3333333333321,0.25,4/4,x,1,3,0
B4,16611.555555555555,17203.2,591.644444444446,0.25,4/4,x,1,3,0
D6,17203.2,17703.82222222222,500.62222222222044,0.25,4/4,x,1,3,0
F♯5,17703.82222222222,18318.222222222223,614.4000000000015,0.25,4/4,x,1,3,0
G5,18318.222222222223,18363.733333333334,45.51111111111095,0.25,4/4,x,1,3,0
C5,18363.733333333334,19205.68888888889,841.9555555555562,0.25,4/4,x,1,3,0
A5,19205.68888888889,19228.444444444445,22.755555555555475,0.25,4/4,x,1,3,0
F♯5,19228.444444444445,19933.86666666667,705.4222222222234,0.25,4/4,x,1,3,0
G5,19933.86666666667,19956.62222222222,22.755555555551837,0.25,4/4,x,1,3,0
B4,19956.62222222222,20457.244444444445,500.6222222222241,0.25,4/4,x,1,3,0
D6,20457.244444444445,21003.37777777778,546.133333333335,0.25,4/4,x,1,3,0
F♯5,21003.37777777778,21640.533333333333,637.1555555555533,0.25,4/4,x,1,3,0
G5,21640.533333333333,21663.28888888889,22.755555555555475,0.25,4/4,x,1,3,0
A4,21663.28888888889,22254.933333333334,591.644444444446,0.25,4/4,b,1,4,0
C6,22254.933333333334,22619.022222222226,364.08888888889123,0.25,4/4,x,1,4,0
F♯4,22619.022222222226,23005.866666666665,386.84444444443943,0.25,4/4,b,1,4,0
C6,23005.866666666665,23324.444444444445,318.5777777777803,0.25,4/4,x,1,4,0
G4,23324.444444444445,23825.06666666667,500.6222222222241,0.25,4/4,b,1,4,0
B5,23825.06666666667,24143.644444444442,318.577777777773,0.25,4/4,x,1,4,0
C♯5,24143.644444444442,24530.48888888889,386.8444444444467,0.25,4/4,x,1,4,0
B5,24530.48888888889,25053.86666666667,523.3777777777796,0.25,4/4,x,1,4,0
D5,25053.86666666667,25417.955555555556,364.0888888888876,0.25,4/4,x,1,4,0
B5,25417.955555555556,25850.31111111111,432.355555555554,0.25,4/4,x,1,4,0
A5,25850.31111111111,25873.066666666666,22.755555555555475,0.5,4/4,x,1,4,0
0,25873.066666666666,27648.0,1774.9333333333343,0.25,4/4,.,1,4,0
C5,27648.0,27966.57777777778,318.5777777777803,0.25,4/4,x,1,4,0
B4,27966.57777777778,28421.688888888886,455.11111111110586,0.25,4/4,x,1,4,0
A4,28421.688888888886,28626.48888888889,204.8000000000029,0.25,4/4,x,1,4,0
B4,28626.48888888889,29400.17777777778,773.6888888888898,0.25,4/4,x,1,5,0
A5,29400.17777777778,29536.71111111111,136.53333333333285,0.25,4/4,x,1,5,0
G5,29536.71111111111,29946.31111111111,409.59999999999854,0.25,4/4,x,1,5,0
B4,29946.31111111111,30424.17777777778,477.8666666666686,0.25,4/4,x,1,5,0
D4,30424.17777777778,30970.31111111111,546.1333333333314,0.25,4/4,b,1,5,0
G5,30970.31111111111,31288.888888888887,318.57777777777665,0.25,4/4,x,1,5,0
F♯5,31288.888888888887,31744.0,455.11111111111313,0.25,4/4,x,1,5,0
A4,31744.0,32039.82222222222,295.82222222222117,0.25,4/4,x,1,5,0
G♯4,32039.82222222222,32585.955555555556,546.133333333335,0.25,4/4,b,1,5,0
F♯5,32585.955555555556,32676.977777777778,91.0222222222219,0.25,4/4,x,1,5,0
E♯5,32676.977777777778,33450.666666666664,773.6888888888861,0.25,4/4,x,1,5,0
E5,33450.666666666664,33814.75555555556,364.08888888889487,0.25,4/4,x,1,5,0
D♯5,33814.75555555556,34133.333333333336,318.57777777777665,0.25,4/4,x,1,5,0
D5,34133.333333333336,34474.666666666664,341.3333333333285,0.25,4/4,x,1,5,0
C♯5,34474.666666666664,34816.0,341.33333333333576,0.25,4/4,x,1,5,0
B4,34816.0,35316.62222222222,500.62222222222044,0.25,4/4,x,1,5,0
F♯4,35316.62222222222,35862.75555555556,546.1333333333387,0.25,4/4,b,1,6,0
B5,35862.75555555556,36386.13333333333,523.3777777777723,0.25,4/4,x,1,6,0
A♯5,36386.13333333333,36727.46666666667,341.33333333333576,0.25,4/4,x,1,6,0
A5,36727.46666666667,36750.22222222222,22.755555555551837,0.25,4/4,x,1,6,0
G♯5,36750.22222222222,37091.55555555556,341.33333333334303,0.25,4/4,x,1,6,0
G5,37091.55555555556,37842.48888888889,750.933333333327,0.25,4/4,x,1,6,0
F♯5,37842.48888888889,38365.86666666667,523.3777777777796,0.25,4/4,x,1,6,0
A♯5,38365.86666666667,38798.22222222222,432.3555555555504,0.25,4/4,x,1,6,0
B5,38798.22222222222,39776.711111111115,978.4888888888963,0.5,4/4,x,1,6,0
B4,39776.711111111115,40186.31111111111,409.59999999999127,0.25,4/4,B,1,6,0
C♯5,40186.31111111111,40527.64444444445,341.33333333334303,0.25,4/4,B,1,6,0
D5,40527.64444444445,41005.51111111111,477.86666666666133,0.25,4/4,B,1,6,0
B5,41005.51111111111,41665.422222222216,659.9111111111051,0.25,4/4,S,1,6,0
E5,41665.422222222216,41688.17777777778,22.75555555556639,0.25,4/4,B,1,6,0
