Note,Onset (ms),Offset (ms),Time_duration (ms),Score_duration,Time-Signature,Voice,Movment,Measure,Repeated
0,0,1865.9555555555555,1865.9555555555555,0,0,.,x,x,.
A4,1865.9555555555555,3026.4888888888886,1160.533333333333,1.0,3/4,x,1,1,0
D4,3026.4888888888886,3140.266666666667,113.77777777777828,0.5,3/4,b,1,2,0
D5,3140.266666666667,4369.066666666667,1228.7999999999997,0.5,3/4,x,1,2,0
C♯5,4369.066666666667,4801.422222222222,432.35555555555584,0.5,3/4,x,1,2,0
D5,4801.422222222222,5233.777777777778,432.35555555555584,0.5,3/4,x,1,2,0
F5,5233.777777777778,6007.466666666667,773.6888888888889,0.5,3/4,x,1,2,0
D5,6007.466666666667,6485.333333333333,477.8666666666659,0.5,3/4,x,1,2,0
B♭4,6485.333333333333,7008.711111111112,523.3777777777786,0.5,3/4,x,1,3,0
D5,7008.711111111112,7532.0888888888885,523.3777777777768,0.5,3/4,x,1,3,0
C♯5,7532.0888888888885,7987.2,455.1111111111113,0.5,3/4,x,1,3,0
D5,7987.2,8396.800000000001,409.6000000000013,0.5,3/4,x,1,3,0
F5,8396.800000000001,9011.2,614.3999999999996,0.5,3/4,x,1,3,0
D5,9011.2,9489.066666666666,477.86666666666497,0.5,3/4,x,1,3,0
F4,9489.066666666666,10035.199999999999,546.1333333333332,0.5,3/4,b,1,4,0
A5,10035.199999999999,10467.555555555557,432.35555555555766,0.5,3/4,x,1,4,0
G4,10467.555555555557,10922.666666666666,455.1111111111095,0.5,3/4,b,1,4,0
G5,10922.666666666666,11377.777777777777,455.1111111111113,0.5,3/4,x,1,4,0
A4,11377.777777777777,11719.111111111111,341.33333333333394,0.25,3/4,b,1,4,0
G5,11719.111111111111,11946.666666666668,227.55555555555657,0.25,3/4,x,1,4,0
F5,11946.666666666668,12310.755555555555,364.0888888888876,0.25,3/4,x,1,4,0
E5,12310.755555555555,12561.066666666668,250.31111111111204,0.25,3/4,x,1,4,0
F5,12561.066666666668,12879.644444444444,318.57777777777665,0.125,3/4,x,1,5,0
E5,12879.644444444444,12925.155555555555,45.51111111111095,0.125,3/4,x,1,5,0
