Note,Onset (ms),Offset (ms),Time_duration (ms),Score_duration,Time-Signature,Voice,Movment,Measure,Repeated
0,0,364.0888888888889,364.0888888888889,0,0,.,x,x,.
D4,364.0888888888889,1706.6666666666667,1342.5777777777778,1.5,4/4,x,1,1,0
D5,1706.6666666666667,1820.4444444444446,113.77777777777783,0.25,4/4,x,1,1,0
E5,1820.4444444444446,2844.4444444444443,1023.9999999999998,0.25,4/4,x,1,1,0
E5,2844.4444444444443,2867.2,22.755555555555475,1.5,4/4,x,1,1,0
D5,2867.2,2935.4666666666667,68.26666666666688,0.25,4/4,x,1,1,0
E5,2935.4666666666667,3185.7777777777774,250.31111111111068,0.25,4/4,x,1,1,0
D4,3185.7777777777774,4460.0888888888885,1274.3111111111111,1.5,4/4,x,1,2,0
F♯5,4460.0888888888885,4551.111111111111,91.02222222222281,0.25,4/4,x,1,2,0
G5,4551.111111111111,5506.844444444445,955.7333333333336,0.25,4/4,x,1,2,0
G5,5506.844444444445,5529.6,22.755555555555475,1.5,4/4,x,1,2,0
F♯5,5529.6,5552.355555555556,22.755555555555475,0.25,4/4,x,1,2,0
G5,5552.355555555556,5848.177777777778,295.8222222222221,0.25,4/4,x,1,2,0
D4,5848.177777777778,6599.111111111111,750.9333333333334,1.0,4/4,x,1,3,0
A5,6599.111111111111,7099.733333333333,500.62222222222135,0.75,4/4,x,1,3,0
F♯4,7099.733333333333,7236.266666666666,136.53333333333376,0.25,4/4,b,1,3,0
G5,7236.266666666666,7714.133333333334,477.8666666666677,0.75,4/4,x,1,3,0
E4,7714.133333333334,7850.666666666666,136.53333333333194,0.25,4/4,b,1,3,0
F♯5,7850.666666666666,8351.288888888888,500.62222222222226,0.75,4/4,x,1,3,0
D4,8351.288888888888,8510.577777777778,159.28888888889014,0.25,4/4,b,1,3,0
E5,8510.577777777778,9261.511111111113,750.9333333333343,1.0,4/4,x,1,4,0
A4,9261.511111111113,9830.4,568.8888888888869,1.0,4/4,x,1,4,0
0,9830.4,10035.199999999999,204.79999999999927,0.125,4/4,.,1,4,0
A4,10035.199999999999,10285.511111111111,250.31111111111204,0.125,4/4,x,1,4,0
B4,10285.511111111111,10422.044444444446,136.53333333333467,0.125,4/4,x,1,4,0
C♯5,10422.044444444446,10444.800000000001,22.755555555555475,0.125,4/4,x,1,4,0
D5,10444.800000000001,10467.555555555557,22.755555555555475,0.125,4/4,x,1,4,0
E5,10467.555555555557,10513.066666666668,45.51111111111095,0.125,4/4,x,1,4,0
F♯5,10513.066666666668,10535.822222222223,22.755555555555475,0.125,4/4,x,1,4,0
G5,10535.822222222223,10581.333333333334,45.51111111111095,0.125,4/4,x,1,4,0
A5,10581.333333333334,11081.955555555556,500.62222222222226,0.75,4/4,x,1,4,0
G5,11081.955555555556,11309.511111111113,227.55555555555657,0.25,4/4,x,1,4,0
F♯5,11309.511111111113,11901.155555555557,591.6444444444442,0.75,4/4,x,1,5,0
C♯5,11901.155555555557,12060.444444444443,159.2888888888865,0.25,4/4,x,1,5,0
D5,12060.444444444443,12834.133333333333,773.6888888888898,1.0,4/4,x,1,5,0
0,12834.133333333333,12856.888888888889,22.755555555555475,0.125,4/4,.,1,5,0
B4,12856.888888888889,12993.422222222222,136.53333333333285,0.125,4/4,x,1,5,0
C♯5,12993.422222222222,13038.933333333332,45.51111111111095,0.125,4/4,x,1,5,0
D5,13038.933333333332,13107.2,68.26666666666824,0.125,4/4,x,1,5,0
E5,13107.2,13175.466666666667,68.26666666666642,0.125,4/4,x,1,5,0
F♯5,13175.466666666667,13198.222222222223,22.755555555555475,0.125,4/4,x,1,5,0
G5,13198.222222222223,13220.977777777778,22.755555555555475,0.125,4/4,x,1,5,0
A5,13220.977777777778,13289.244444444445,68.26666666666642,0.125,4/4,x,1,5,0
B5,13289.244444444445,13835.377777777778,546.1333333333332,0.75,4/4,x,1,5,0
A5,13835.377777777778,14108.444444444445,273.0666666666675,0.25,4/4,x,1,5,0
G♯5,14108.444444444445,14722.844444444445,614.3999999999996,0.75,4/4,x,1,6,0
D♯5,14722.844444444445,14836.622222222222,113.77777777777737,0.25,4/4,x,1,6,0
E5,14836.622222222222,15974.4,1137.7777777777774,1.0,4/4,x,1,6,0
0,15974.4,15997.155555555555,22.755555555555475,0.75,4/4,.,1,6,0
B4,15997.155555555555,16156.444444444445,159.28888888889014,0.25,4/4,x,1,6,0
C♯5,16156.444444444445,16748.08888888889,591.644444444446,0.75,4/4,x,1,6,0
G♯4,16748.08888888889,16884.622222222224,136.53333333333285,0.25,4/4,x,1,6,0
A4,16884.622222222224,17499.022222222222,614.3999999999978,0.75,4/4,x,1,7,0
A4,17499.022222222222,17521.777777777777,22.755555555555475,0.08333333333333333,4/4,x,1,7,0
B4,17521.777777777777,17590.044444444444,68.26666666666642,0.08333333333333333,4/4,x,1,7,0
C♯5,17590.044444444444,17681.066666666666,91.0222222222219,0.08333333333333333,4/4,x,1,7,0
F♯4,17681.066666666666,18295.466666666667,614.4000000000015,0.75,4/4,x,1,7,0
F♯4,18295.466666666667,18318.222222222223,22.755555555555475,0.08333333333333333,4/4,x,1,7,0
G4,18318.222222222223,18363.733333333334,45.51111111111095,0.08333333333333333,4/4,x,1,7,0
A4,18363.733333333334,18500.26666666667,136.5333333333365,0.08333333333333333,4/4,x,1,7,0
D4,18500.26666666667,19182.933333333334,682.6666666666642,0.75,4/4,b,1,7,0
C♯5,19182.933333333334,19319.466666666667,136.53333333333285,0.25,4/4,x,1,7,0
D5,19319.466666666667,19911.111111111113,591.644444444446,0.75,4/4,x,1,7,0
A♯4,19911.111111111113,20002.13333333333,91.02222222221826,0.25,4/4,x,1,7,0
B4,20002.13333333333,20616.533333333333,614.4000000000015,0.75,4/4,x,1,8,0
B4,20616.533333333333,20639.28888888889,22.755555555555475,0.08333333333333333,4/4,x,1,8,0
C♯5,20639.28888888889,20707.555555555555,68.26666666666642,0.08333333333333333,4/4,x,1,8,0
D5,20707.555555555555,20844.08888888889,136.5333333333365,0.08333333333333333,4/4,x,1,8,0
G♯4,20844.08888888889,21435.733333333334,591.6444444444423,0.75,4/4,x,1,8,0
G♯4,21435.733333333334,21458.48888888889,22.755555555555475,0.08333333333333333,4/4,x,1,8,0
A4,21458.48888888889,21481.244444444445,22.755555555555475,0.08333333333333333,4/4,x,1,8,0
B4,21481.244444444445,21595.022222222222,113.77777777777737,0.08333333333333333,4/4,x,1,8,0
E4,21595.022222222222,22232.17777777778,637.1555555555569,0.75,4/4,b,1,8,0
D♯5,22232.17777777778,22391.466666666667,159.28888888888832,0.25,4/4,x,1,8,0
E5,22391.466666666667,22892.088888888888,500.62222222222044,0.75,4/4,x,1,8,0
B4,22892.088888888888,23005.866666666665,113.77777777777737,0.25,4/4,x,1,8,0
C♯5,23005.866666666665,23574.755555555555,568.8888888888905,0.75,4/4,x,1,9,0
A4,23574.755555555555,23711.28888888889,136.53333333333285,0.25,4/4,x,1,9,0
F♯5,23711.28888888889,24462.222222222223,750.9333333333343,1.0,4/4,x,1,9,0
G♯4,24462.222222222223,24962.844444444447,500.6222222222241,0.75,4/4,x,1,9,0
B4,24962.844444444447,25144.88888888889,182.0444444444438,0.25,4/4,x,1,9,0
E5,25144.88888888889,25668.266666666666,523.3777777777759,0.75,4/4,x,1,9,0
E4,25668.266666666666,25782.044444444444,113.77777777777737,0.25,4/4,b,1,9,0
F♯4,25782.044444444444,26350.933333333334,568.8888888888905,0.75,4/4,x,1,10,0
A4,26350.933333333334,26487.466666666667,136.53333333333285,0.25,4/4,x,1,10,0
D5,26487.466666666667,27215.644444444442,728.1777777777752,1.0,4/4,x,1,10,0
E4,27215.644444444442,27716.266666666666,500.6222222222241,0.75,4/4,x,1,10,0
G♯4,27716.266666666666,27852.8,136.53333333333285,0.25,4/4,x,1,10,0
C♯5,27852.8,28421.688888888886,568.8888888888869,0.75,4/4,x,1,10,0
E4,28421.688888888886,28535.466666666667,113.77777777778101,0.25,4/4,x,1,10,0
D4,28535.466666666667,29104.355555555558,568.8888888888905,0.75,4/4,b,1,11,0
C♯5,29104.355555555558,29240.88888888889,136.53333333333285,0.25,4/4,x,1,11,0
B4,29240.88888888889,29787.022222222222,546.1333333333314,0.75,4/4,x,1,11,0
A4,29787.022222222222,29946.31111111111,159.28888888888832,0.25,4/4,x,1,11,0
D♯4,29946.31111111111,30446.933333333334,500.6222222222241,0.75,4/4,x,1,11,0
B4,30446.933333333334,30651.733333333334,204.79999999999927,0.25,4/4,x,1,11,0
A4,30651.733333333334,31152.355555555554,500.62222222222044,0.75,4/4,x,1,11,0
F♯5,31152.355555555554,31311.644444444442,159.28888888888832,0.25,4/4,x,1,11,0
E4,31311.644444444442,31903.28888888889,591.644444444446,0.75,4/4,x,1,12,0
G♯4,31903.28888888889,32017.066666666666,113.77777777777737,0.25,4/4,x,1,12,0
B4,32017.066666666666,33109.33333333333,1092.2666666666628,1.0,4/4,x,1,12,0
0,33109.33333333333,33132.08888888889,22.755555555559113,0.75,4/4,.,1,12,0
D5,33132.08888888889,33245.86666666666,113.77777777777374,0.25,4/4,x,1,12,0
C♯5,33245.86666666666,33837.51111111111,591.6444444444496,0.75,4/4,x,1,12,0
B4,33837.51111111111,33974.044444444444,136.53333333333285,0.25,4/4,x,1,12,0
A5,33974.044444444444,34429.15555555555,455.1111111111095,0.75,4/4,x,1,13,0
G♯5,34429.15555555555,34542.93333333333,113.77777777777374,0.125,4/4,x,1,13,0
F♯5,34542.93333333333,34633.95555555555,91.0222222222219,0.125,4/4,x,1,13,0
E5,34633.95555555555,35202.84444444445,568.8888888888978,0.75,4/4,x,1,13,0
D5,35202.84444444445,35657.955555555556,455.1111111111095,0.25,4/4,x,1,13,0
B4,35657.955555555556,36955.02222222222,1297.0666666666657,1.5,4/4,x,1,13,0
A4,36955.02222222222,39162.31111111111,2207.2888888888847,0.5,4/4,x,1,13,0
A4,39162.31111111111,39185.066666666666,22.755555555559113,1.5,4/4,x,1,14,0
A4,39185.066666666666,39207.82222222222,22.755555555551837,0.5,4/4,x,1,14,0
A4,39207.82222222222,39230.57777777778,22.755555555559113,0.75,4/4,x,1,14,0
G4,39230.57777777778,39526.4,295.8222222222248,0.25,4/4,x,1,14,0
F♯4,39526.4,40163.555555555555,637.1555555555533,0.75,4/4,x,1,14,0
E4,40163.555555555555,40300.08888888889,136.53333333333285,0.25,4/4,x,1,14,0
D4,40300.08888888889,41528.88888888888,1228.7999999999956,1.5,4/4,x,1,1,1
D5,41528.88888888888,41824.711111111115,295.8222222222321,0.25,4/4,x,1,1,1
E5,41824.711111111115,43212.8,1388.0888888888876,0.25,4/4,x,1,1,1
E5,43212.8,43235.555555555555,22.755555555551837,1.5,4/4,x,1,1,1
D5,43235.555555555555,43417.6,182.0444444444438,0.25,4/4,x,1,1,1
E5,43417.6,43440.35555555556,22.755555555559113,0.25,4/4,x,1,1,1
D4,43440.35555555556,44828.444444444445,1388.0888888888876,1.5,4/4,x,1,2,1
F♯5,44828.444444444445,44942.22222222222,113.77777777777374,0.25,4/4,x,1,2,1
G5,44942.22222222222,45943.46666666667,1001.2444444444482,0.25,4/4,x,1,2,1
G5,45943.46666666667,45966.22222222222,22.755555555551837,1.5,4/4,x,1,2,1
F♯5,45966.22222222222,46057.24444444444,91.0222222222219,0.25,4/4,x,1,2,1
G5,46057.24444444444,46398.577777777784,341.33333333334303,0.25,4/4,x,1,2,1
D4,46398.577777777784,47240.53333333333,841.9555555555489,1.0,4/4,x,1,3,1
A5,47240.53333333333,47741.15555555556,500.6222222222277,0.75,4/4,x,1,3,1
F♯4,47741.15555555556,47900.444444444445,159.28888888888469,0.25,4/4,b,1,3,1
G5,47900.444444444445,48355.555555555555,455.1111111111095,0.75,4/4,x,1,3,1
E4,48355.555555555555,48492.08888888889,136.53333333333285,0.25,4/4,b,1,3,1
F♯5,48492.08888888889,49015.46666666667,523.3777777777796,0.75,4/4,x,1,3,1
D4,49015.46666666667,49220.26666666667,204.8000000000029,0.25,4/4,b,1,3,1
E5,49220.26666666667,49993.955555555556,773.6888888888861,1.0,4/4,x,1,4,1
A4,49993.955555555556,50858.666666666664,864.711111111108,1.0,4/4,x,1,4,1
0,50858.666666666664,50881.42222222222,22.755555555559113,0.125,4/4,.,1,4,1
A4,50881.42222222222,51063.46666666666,182.04444444443652,0.125,4/4,x,1,4,1
B4,51063.46666666666,51154.48888888889,91.02222222222917,0.125,4/4,x,1,4,1
C♯5,51154.48888888889,51268.26666666667,113.77777777778101,0.125,4/4,x,1,4,1
D5,51268.26666666667,51291.02222222222,22.755555555551837,0.125,4/4,x,1,4,1
E5,51291.02222222222,51336.53333333333,45.51111111111095,0.125,4/4,x,1,4,1
F♯5,51336.53333333333,51359.28888888889,22.755555555559113,0.125,4/4,x,1,4,1
G5,51359.28888888889,51404.8,45.51111111111095,0.125,4/4,x,1,4,1
A5,51404.8,51973.688888888886,568.8888888888832,0.75,4/4,x,1,4,1
G5,51973.688888888886,52201.24444444444,227.55555555555475,0.25,4/4,x,1,4,1
F♯5,52201.24444444444,52906.666666666664,705.4222222222234,0.75,4/4,x,1,5,1
C♯5,52906.666666666664,53065.955555555556,159.28888888889196,0.25,4/4,x,1,5,1
D5,53065.955555555556,53930.666666666664,864.711111111108,1.0,4/4,x,1,5,1
0,53930.666666666664,53953.42222222222,22.755555555559113,0.125,4/4,.,1,5,1
B4,53953.42222222222,54067.2,113.77777777777374,0.125,4/4,x,1,5,1
C♯5,54067.2,54180.97777777778,113.77777777778101,0.125,4/4,x,1,5,1
D5,54180.97777777778,54203.73333333333,22.755555555551837,0.125,4/4,x,1,5,1
E5,54203.73333333333,54249.24444444444,45.51111111111095,0.125,4/4,x,1,5,1
F♯5,54249.24444444444,54294.75555555555,45.51111111111095,0.125,4/4,x,1,5,1
G5,54294.75555555555,54317.51111111111,22.755555555559113,0.125,4/4,x,1,5,1
A5,54317.51111111111,54408.53333333333,91.0222222222219,0.125,4/4,x,1,5,1
B5,54408.53333333333,54977.42222222222,568.8888888888905,0.75,4/4,x,1,5,1
A5,54977.42222222222,55068.444444444445,91.0222222222219,0.25,4/4,x,1,5,1
G♯5,55068.444444444445,55864.88888888889,796.4444444444453,0.75,4/4,x,1,6,1
D♯5,55864.88888888889,56024.17777777778,159.28888888889196,0.25,4/4,x,1,6,1
E5,56024.17777777778,57321.24444444445,1297.0666666666657,1.0,4/4,x,1,6,1
0,57321.24444444445,57344.0,22.755555555551837,0.75,4/4,.,1,6,1
B4,57344.0,57480.53333333333,136.53333333333285,0.25,4/4,x,1,6,1
C♯5,57480.53333333333,58072.177777777775,591.6444444444423,0.75,4/4,x,1,6,1
G♯4,58072.177777777775,58185.955555555556,113.77777777778101,0.25,4/4,x,1,6,1
A4,58185.955555555556,58800.35555555556,614.4000000000015,0.75,4/4,x,1,7,1
A4,58800.35555555556,58823.11111111111,22.755555555551837,0.08333333333333333,4/4,x,1,7,1
B4,58823.11111111111,58914.13333333333,91.0222222222219,0.08333333333333333,4/4,x,1,7,1
C♯5,58914.13333333333,59005.15555555555,91.0222222222219,0.08333333333333333,4/4,x,1,7,1
F♯4,59005.15555555555,59574.044444444444,568.8888888888905,0.75,4/4,x,1,7,1
F♯4,59574.044444444444,59596.8,22.755555555559113,0.08333333333333333,4/4,x,1,7,1
G4,59596.8,59665.066666666666,68.26666666666279,0.08333333333333333,4/4,x,1,7,1
A4,59665.066666666666,59801.6,136.53333333333285,0.08333333333333333,4/4,x,1,7,1
D4,59801.6,60438.75555555555,637.1555555555533,0.75,4/4,b,1,7,1
C♯5,60438.75555555555,60643.555555555555,204.8000000000029,0.25,4/4,x,1,7,1
D5,60643.555555555555,61121.42222222222,477.8666666666686,0.75,4/4,x,1,7,1
A♯4,61121.42222222222,61212.444444444445,91.0222222222219,0.25,4/4,x,1,7,1
B4,61212.444444444445,61781.333333333336,568.8888888888905,0.75,4/4,x,1,8,1
B4,61781.333333333336,61804.088888888895,22.755555555559113,0.08333333333333333,4/4,x,1,8,1
C♯5,61804.088888888895,61849.600000000006,45.51111111111095,0.08333333333333333,4/4,x,1,8,1
D5,61849.600000000006,61963.37777777778,113.77777777777374,0.08333333333333333,4/4,x,1,8,1
G♯4,61963.37777777778,62464.0,500.62222222222044,0.75,4/4,x,1,8,1
G♯4,62464.0,62486.75555555555,22.755555555551837,0.08333333333333333,4/4,x,1,8,1
A4,62486.75555555555,62577.777777777774,91.0222222222219,0.08333333333333333,4/4,x,1,8,1
B4,62577.777777777774,62714.31111111111,136.53333333333285,0.08333333333333333,4/4,x,1,8,1
E4,62714.31111111111,63192.17777777778,477.8666666666759,0.75,4/4,b,1,8,1
D♯5,63192.17777777778,63328.71111111111,136.53333333332557,0.25,4/4,x,1,8,1
E5,63328.71111111111,63897.6,568.8888888888905,0.75,4/4,x,1,8,1
B4,63897.6,64011.37777777778,113.77777777778101,0.25,4/4,x,1,8,1
C♯5,64011.37777777778,64603.02222222222,591.6444444444423,0.75,4/4,x,1,9,1
A4,64603.02222222222,64762.311111111114,159.28888888889196,0.25,4/4,x,1,9,1
F♯5,64762.311111111114,65513.24444444444,750.933333333327,1.0,4/4,x,1,9,1
G♯4,65513.24444444444,66036.62222222223,523.3777777777868,0.75,4/4,x,1,9,1
B4,66036.62222222223,66195.91111111111,159.28888888888469,0.25,4/4,x,1,9,1
E5,66195.91111111111,66696.53333333334,500.6222222222277,0.75,4/4,x,1,9,1
E4,66696.53333333334,66833.06666666667,136.53333333332557,0.25,4/4,b,1,9,1
F♯4,66833.06666666667,67401.95555555556,568.8888888888905,0.75,4/4,x,1,10,1
A4,67401.95555555556,67538.4888888889,136.53333333334012,0.25,4/4,x,1,10,1
D5,67538.4888888889,68266.66666666667,728.1777777777752,1.0,4/4,x,1,10,1
E4,68266.66666666667,68744.53333333334,477.8666666666686,0.75,4/4,x,1,10,1
G♯4,68744.53333333334,68881.06666666667,136.53333333332557,0.25,4/4,x,1,10,1
C♯5,68881.06666666667,69427.2,546.1333333333314,0.75,4/4,x,1,10,1
E4,69427.2,69540.97777777778,113.77777777778101,0.25,4/4,x,1,10,1
D4,69540.97777777778,70132.62222222223,591.6444444444496,0.75,4/4,b,1,11,1
