Note,Onset (ms),Offset (ms),Time_duration (ms),Score_duration,Time-Signature,Voice,Movment,Measure,Repeated
0,0,568.8888888888889,568.8888888888889,0,0,.,x,x,.
E5,568.8888888888889,1638.4,1069.5111111111112,0.5,4/4,S,1,1,0
E4,1638.4,2070.7555555555555,432.3555555555554,0.25,4/4,b,1,1,0
F♯4,2070.7555555555555,2753.4222222222224,682.666666666667,0.25,4/4,b,1,1,0
G4,2753.4222222222224,2867.2,113.77777777777737,0.25,4/4,B,1,1,0
E5,2867.2,3299.5555555555557,432.35555555555584,0.25,4/4,S,1,1,0
A4,3299.5555555555557,4004.9777777777776,705.422222222222,0.25,4/4,B,1,1,0
E5,4004.9777777777776,4027.733333333333,22.755555555555475,0.25,4/4,S,1,1,0
B4,4027.733333333333,4482.844444444445,455.11111111111177,0.25,4/4,B,1,1,0
E5,4482.844444444445,4824.177777777778,341.33333333333303,0.25,4/4,S,1,1,0
D♯5,4824.177777777778,6394.311111111111,1570.1333333333332,0.5,4/4,S,1,1,0
0,6394.311111111111,6417.066666666667,22.755555555555475,0.5,4/4,.,1,1,0
D♯5,6417.066666666667,6462.577777777778,45.51111111111095,0.25,4/4,x,1,1,0
E5,6462.577777777778,6872.177777777778,409.60000000000036,0.25,4/4,x,1,1,0
F♯5,6872.177777777778,7145.2444444444445,273.0666666666666,0.25,4/4,x,1,2,0
B4,7145.2444444444445,7554.844444444444,409.59999999999945,0.25,4/4,B,1,2,0
A4,7554.844444444444,8009.955555555555,455.1111111111113,0.25,4/4,B,1,2,0
C6,8009.955555555555,8305.777777777777,295.8222222222221,0.25,4/4,S,1,2,0
G4,8305.777777777777,8328.533333333333,22.755555555555475,0.25,4/4,b,1,2,0
B5,8328.533333333333,8351.288888888888,22.755555555555475,0.25,4/4,S,1,2,0
F♯4,8351.288888888888,9534.577777777777,1183.2888888888883,0.25,4/4,b,1,2,0
A5,9534.577777777777,9966.933333333334,432.35555555555766,0.25,4/4,S,1,2,0
E4,9966.933333333334,10604.08888888889,637.1555555555551,0.25,4/4,b,1,2,0
G5,10604.08888888889,10626.844444444445,22.755555555555475,0.125,4/4,S,1,2,0
F♯5,10626.844444444445,10899.91111111111,273.0666666666657,0.125,4/4,S,1,2,0
E5,10899.91111111111,11650.844444444445,750.9333333333343,0.5,4/4,S,1,2,0
0,11650.844444444445,12401.777777777777,750.9333333333325,0.25,4/4,.,1,2,0
F♯5,12401.777777777777,12765.866666666665,364.0888888888876,0.25,4/4,x,1,2,0
G5,12765.866666666665,13016.177777777777,250.31111111111204,0.25,4/4,x,1,2,0
B4,13016.177777777777,13516.8,500.62222222222226,0.25,4/4,x,1,2,0
C5,13516.8,14017.422222222223,500.6222222222241,0.25,4/4,x,1,3,0
A5,14017.422222222223,14358.755555555555,341.3333333333321,0.25,4/4,x,1,3,0
F♯5,14358.755555555555,15041.422222222222,682.6666666666661,0.25,4/4,x,1,3,0
G5,15041.422222222222,15064.177777777777,22.755555555555475,0.25,4/4,x,1,3,0
B4,15064.177777777777,15519.288888888888,455.1111111111113,0.25,4/4,x,1,3,0
D6,15519.288888888888,15860.622222222222,341.33333333333394,0.25,4/4,x,1,3,0
F♯5,15860.622222222222,16702.577777777777,841.9555555555544,0.25,4/4,x,1,3,0
G5,16702.577777777777,16725.333333333332,22.755555555555475,0.25,4/4,x,1,3,0
C5,16725.333333333332,17362.48888888889,637.1555555555569,0.25,4/4,x,1,3,0
A5,17362.48888888889,17430.755555555555,68.26666666666642,0.25,4/4,x,1,3,0
F♯5,17430.755555555555,18136.17777777778,705.4222222222234,0.25,4/4,x,1,3,0
G5,18136.17777777778,18158.933333333334,22.755555555555475,0.25,4/4,x,1,3,0
B4,18158.933333333334,18591.28888888889,432.355555555554,0.25,4/4,x,1,3,0
D6,18591.28888888889,19296.71111111111,705.4222222222234,0.25,4/4,x,1,3,0
F♯5,19296.71111111111,19729.06666666667,432.35555555555766,0.25,4/4,x,1,3,0
G5,19729.06666666667,19751.822222222225,22.755555555555475,0.25,4/4,x,1,3,0
A4,19751.822222222225,20229.688888888886,477.86666666666133,0.25,4/4,b,1,4,0
C6,20229.688888888886,20548.266666666666,318.5777777777803,0.25,4/4,x,1,4,0
F♯4,20548.266666666666,20844.08888888889,295.8222222222248,0.25,4/4,b,1,4,0
C6,20844.08888888889,21208.17777777778,364.0888888888876,0.25,4/4,x,1,4,0
G4,21208.17777777778,21572.266666666666,364.0888888888876,0.25,4/4,b,1,4,0
B5,21572.266666666666,21890.844444444443,318.57777777777665,0.25,4/4,x,1,4,0
C♯5,21890.844444444443,22277.68888888889,386.8444444444467,0.25,4/4,x,1,4,0
B5,22277.68888888889,22801.066666666666,523.3777777777759,0.25,4/4,x,1,4,0
D5,22801.066666666666,23051.377777777776,250.31111111111022,0.25,4/4,x,1,4,0
B5,23051.377777777776,24302.93333333333,1251.5555555555547,0.25,4/4,x,1,4,0
A5,24302.93333333333,24325.688888888886,22.755555555555475,0.5,4/4,x,1,4,0
0,24325.688888888886,24712.533333333333,386.8444444444467,0.25,4/4,.,1,4,0
C5,24712.533333333333,25122.133333333335,409.6000000000022,0.25,4/4,x,1,4,0
B4,25122.133333333335,25440.71111111111,318.57777777777665,0.25,4/4,x,1,4,0
A4,25440.71111111111,25895.82222222222,455.1111111111095,0.25,4/4,x,1,4,0
B4,25895.82222222222,26350.933333333334,455.11111111111313,0.25,4/4,x,1,5,0
A5,26350.933333333334,26737.77777777778,386.8444444444467,0.25,4/4,x,1,5,0
G5,26737.77777777778,27033.6,295.82222222221753,0.25,4/4,x,1,5,0
B4,27033.6,27465.955555555556,432.35555555555766,0.25,4/4,x,1,5,0
D4,27465.955555555556,27898.311111111114,432.35555555555766,0.25,4/4,b,1,5,0
G5,27898.311111111114,27921.06666666667,22.755555555555475,0.25,4/4,x,1,5,0
F♯5,27921.06666666667,28558.222222222223,637.1555555555533,0.25,4/4,x,1,5,0
A4,28558.222222222223,28580.977777777778,22.755555555555475,0.25,4/4,x,1,5,0
G♯4,28580.977777777778,29787.022222222222,1206.0444444444438,0.25,4/4,b,1,5,0
F♯5,29787.022222222222,29809.777777777777,22.755555555555475,0.25,4/4,x,1,5,0
E♯5,29809.777777777777,30811.022222222222,1001.2444444444445,0.25,4/4,x,1,5,0
E5,30811.022222222222,30856.533333333336,45.51111111111459,0.25,4/4,x,1,5,0
D♯5,30856.533333333336,31152.355555555554,295.82222222221753,0.25,4/4,x,1,5,0
D5,31152.355555555554,31448.17777777778,295.8222222222248,0.25,4/4,x,1,5,0
C♯5,31448.17777777778,31766.755555555555,318.57777777777665,0.25,4/4,x,1,5,0
B4,31766.755555555555,32267.377777777776,500.62222222222044,0.25,4/4,x,1,5,0
F♯4,32267.377777777776,32950.044444444444,682.6666666666679,0.25,4/4,b,1,6,0
B5,32950.044444444444,33427.911111111105,477.86666666666133,0.25,4/4,x,1,6,0
A♯5,33427.911111111105,33769.24444444445,341.33333333334303,0.25,4/4,x,1,6,0
A5,33769.24444444445,33883.02222222222,113.77777777777374,0.25,4/4,x,1,6,0
G♯5,33883.02222222222,34247.11111111111,364.0888888888876,0.25,4/4,x,1,6,0
G5,34247.11111111111,34565.688888888886,318.57777777777665,0.25,4/4,x,1,6,0
F♯5,34565.688888888886,34861.51111111111,295.8222222222248,0.25,4/4,x,1,6,0
A♯5,34861.51111111111,35339.37777777778,477.8666666666686,0.25,4/4,x,1,6,0
B5,35339.37777777778,36204.08888888889,864.711111111108,0.5,4/4,x,1,6,0
B4,36204.08888888889,36545.42222222222,341.33333333333576,0.25,4/4,B,1,6,0
C♯5,36545.42222222222,36977.777777777774,432.3555555555504,0.25,4/4,B,1,6,0
D5,36977.777777777774,37341.86666666667,364.08888888889487,0.25,4/4,B,1,6,0
B5,37341.86666666667,37660.444444444445,318.57777777777665,0.25,4/4,S,1,6,0
E5,37660.444444444445,38252.088888888895,591.6444444444496,0.25,4/4,B,1,6,0
C♯6,38252.088888888895,38479.64444444445,227.55555555555475,0.25,4/4,S,1,6,0
F♯5,38479.64444444445,38843.73333333333,364.0888888888803,0.25,4/4,B,1,7,0
B5,38843.73333333333,39344.35555555556,500.6222222222277,0.25,4/4,S,1,7,0
A♯5,39344.35555555556,39640.17777777778,295.8222222222248,0.5,4/4,S,1,7,0
0,39640.17777777778,40413.86666666666,773.6888888888789,0.5,4/4,.,1,7,0
A♯5,40413.86666666666,40755.200000000004,341.33333333334303,0.25,4/4,S,1,7,0
B5,40755.200000000004,41255.822222222225,500.62222222222044,0.25,4/4,S,1,7,0
C♯6,41255.822222222225,41528.88888888888,273.0666666666584,0.25,4/4,S,1,7,0
F♯5,41528.88888888888,41870.222222222226,341.33333333334303,0.25,4/4,B,1,7,0
