Note,Onset (ms),Offset (ms),Time_duration (ms),Score_duration,Time-Signature,Voice,Movment,Measure,Repeated
0,0,364.0888888888889,364.0888888888889,0,0,.,x,x,.
B4,364.0888888888889,978.4888888888888,614.3999999999999,0.25,4/4,x,1,1,0
D5,978.4888888888888,1274.3111111111111,295.8222222222223,0.25,4/4,x,1,1,0
F♯5,1274.3111111111111,3527.1111111111113,2252.8,1.5,4/4,x,1,1,0
A4,3527.1111111111113,4050.488888888889,523.3777777777777,0.25,4/4,x,1,1,0
C♯5,4050.488888888889,4391.822222222222,341.33333333333303,0.25,4/4,x,1,1,0
F♯5,4391.822222222222,6621.866666666667,2230.0444444444447,1.5,4/4,x,1,1,0
G4,6621.866666666667,7145.2444444444445,523.3777777777777,0.25,4/4,x,1,2,0
B4,7145.2444444444445,7509.333333333333,364.0888888888885,0.25,4/4,x,1,2,0
E5,7509.333333333333,9398.044444444444,1888.7111111111108,1.0,4/4,x,1,2,0
E♯5,9398.044444444444,10035.199999999999,637.1555555555551,0.25,4/4,x,1,2,0
F♯5,10035.199999999999,10535.822222222223,500.6222222222241,0.25,4/4,x,1,2,0
F♯4,10535.822222222223,12947.91111111111,2412.0888888888876,1.0,4/4,x,1,2,0
0,12947.91111111111,13721.6,773.6888888888898,1.0,4/4,.,1,2,0
0,13721.6,13744.355555555556,22.755555555555475,0,0,.,x,x,.
0,13744.355555555556,13767.111111111111,22.755555555555475,0.25,4/4,.,2,3,0
D5,13767.111111111111,13835.377777777778,68.26666666666642,0.125,4/4,S,2,3,0
C♯5,13835.377777777778,13903.644444444444,68.26666666666642,0.125,4/4,x,2,3,0
D5,13903.644444444444,14108.444444444445,204.8000000000011,0.25,4/4,S,2,3,0
B4,14108.444444444445,14313.244444444445,204.79999999999927,0.25,4/4,B,2,3,0
G5,14313.244444444445,14518.044444444444,204.79999999999927,0.25,4/4,S,2,3,0
B4,14518.044444444444,14700.08888888889,182.04444444444562,0.25,4/4,B,2,3,0
C♯5,14700.08888888889,14882.133333333333,182.0444444444438,0.25,4/4,B,2,3,0
G5,14882.133333333333,15086.933333333332,204.79999999999927,0.25,4/4,S,2,3,0
D5,15086.933333333332,15337.244444444445,250.31111111111204,0.25,4/4,B,2,3,0
F♯5,15337.244444444445,15382.755555555555,45.51111111111095,0.125,4/4,S,2,3,0
E5,15382.755555555555,15428.266666666668,45.51111111111277,0.125,4/4,x,2,3,0
F♯5,15428.266666666668,15678.577777777777,250.3111111111084,0.25,4/4,S,2,3,0
D5,15678.577777777777,15883.377777777778,204.8000000000011,0.25,4/4,B,2,3,0
A5,15883.377777777778,16065.422222222222,182.0444444444438,0.25,4/4,S,2,3,0
C♯5,16065.422222222222,16270.222222222223,204.8000000000011,0.25,4/4,B,2,3,0
D♯5,16270.222222222223,16429.51111111111,159.28888888888832,0.25,4/4,B,2,3,0
A5,16429.51111111111,16657.066666666666,227.55555555555475,0.25,4/4,S,2,3,0
E5,16657.066666666666,16884.622222222224,227.55555555555839,0.25,4/4,B,2,4,0
G5,16884.622222222224,17157.68888888889,273.0666666666657,0.125,4/4,S,2,4,0
F♯5,17157.68888888889,17203.2,45.51111111111095,0.125,4/4,x,2,4,0
G5,17203.2,17225.955555555553,22.755555555551837,0.25,4/4,S,2,4,0
E5,17225.955555555553,17408.0,182.04444444444744,0.25,4/4,B,2,4,0
A♯5,17408.0,17817.6,409.59999999999854,0.25,4/4,S,2,4,0
F♯5,17817.6,17840.355555555554,22.755555555555475,0.25,4/4,B,2,4,0
C♯6,17840.355555555554,17999.644444444446,159.28888888889196,0.25,4/4,S,2,4,0
E5,17999.644444444446,18227.2,227.55555555555475,0.25,4/4,B,2,4,0
D5,18227.2,18454.755555555555,227.55555555555475,0.25,4/4,B,2,4,0
F♯5,18454.755555555555,18568.533333333333,113.77777777777737,0.25,4/4,S,2,4,0
B5,18568.533333333333,18773.333333333332,204.79999999999927,0.25,4/4,S,2,4,0
D5,18773.333333333332,19000.888888888887,227.55555555555475,0.25,4/4,B,2,4,0
E5,19000.888888888887,19251.2,250.31111111111386,0.25,4/4,B,2,4,0
C♯6,19251.2,19410.48888888889,159.28888888888832,0.25,4/4,S,2,4,0
F♯5,19410.48888888889,19547.022222222222,136.53333333333285,0.25,4/4,B,2,4,0
A♯5,19547.022222222222,19842.844444444447,295.8222222222248,0.25,4/4,S,2,4,0
B4,19842.844444444447,20252.44444444444,409.5999999999949,0.25,4/4,B,2,5,0
C♯5,20252.44444444444,20297.955555555556,45.51111111111459,0.25,4/4,x,2,5,0
D5,20297.955555555556,20457.244444444445,159.28888888888832,0.25,4/4,S,2,5,0
A4,20457.244444444445,20593.777777777777,136.53333333333285,0.25,4/4,B,2,5,0
G♯4,20593.777777777777,20844.08888888889,250.31111111111386,0.25,4/4,B,2,5,0
D5,20844.08888888889,21048.88888888889,204.79999999999927,0.25,4/4,S,2,5,0
F♯4,21048.88888888889,21139.911111111112,91.0222222222219,0.25,4/4,B,2,5,0
D5,21139.911111111112,21435.733333333334,295.82222222222117,0.25,4/4,S,2,5,0
E♯4,21435.733333333334,21708.8,273.0666666666657,0.25,4/4,B,2,5,0
C♯5,21708.8,21731.555555555555,22.755555555555475,0.25,4/4,S,2,5,0
B♯4,21731.555555555555,22118.4,386.8444444444467,0.25,4/4,x,2,5,0
C♯5,22118.4,22300.444444444445,182.0444444444438,0.25,4/4,S,2,5,0
G♯5,22300.444444444445,22505.244444444445,204.79999999999927,0.25,4/4,S,2,5,0
C♯5,22505.244444444445,22710.044444444444,204.79999999999927,0.25,4/4,B,2,5,0
B5,22710.044444444444,23005.866666666665,295.82222222222117,0.25,4/4,S,2,5,0
C♯5,23005.866666666665,23347.2,341.33333333333576,0.25,4/4,B,2,5,0
0,23347.2,23597.51111111111,250.31111111111022,0.25,4/4,.,2,6,0
A4,23597.51111111111,23620.266666666666,22.755555555555475,0.125,4/4,S,2,6,0
G♯4,23620.266666666666,23779.555555555555,159.28888888888832,0.125,4/4,x,2,6,0
A4,23779.555555555555,23984.355555555558,204.8000000000029,0.25,4/4,S,2,6,0
F♯4,23984.355555555558,24166.399999999998,182.04444444444016,0.25,4/4,B,2,6,0
D5,24166.399999999998,24393.955555555556,227.55555555555839,0.25,4/4,S,2,6,0
F♯4,24393.955555555556,24553.244444444445,159.28888888888832,0.25,4/4,B,2,6,0
G♯4,24553.244444444445,24758.044444444444,204.79999999999927,0.25,4/4,B,2,6,0
D5,24758.044444444444,24962.844444444447,204.8000000000029,0.25,4/4,S,2,6,0
A4,24962.844444444447,25213.155555555557,250.31111111111022,0.25,4/4,B,2,6,0
C♯5,25213.155555555557,25281.422222222223,68.26666666666642,0.125,4/4,S,2,6,0
B4,25281.422222222223,25372.444444444445,91.0222222222219,0.125,4/4,x,2,6,0
C♯5,25372.444444444445,25577.244444444445,204.79999999999927,0.25,4/4,S,2,6,0
A4,25577.244444444445,25782.044444444444,204.79999999999927,0.25,4/4,B,2,6,0
E5,25782.044444444444,26009.6,227.55555555555475,0.25,4/4,S,2,6,0
G♯4,26009.6,26168.88888888889,159.28888888889196,0.25,4/4,B,2,6,0
A♯4,26168.88888888889,26373.68888888889,204.79999999999927,0.25,4/4,B,2,6,0
E5,26373.68888888889,26578.48888888889,204.79999999999927,0.25,4/4,S,2,6,0
B4,26578.48888888889,26828.800000000003,250.31111111111386,0.25,4/4,B,2,7,0
D5,26828.800000000003,26897.066666666666,68.26666666666279,0.125,4/4,S,2,7,0
C♯5,26897.066666666666,26942.577777777777,45.51111111111095,0.125,4/4,x,2,7,0
D5,26942.577777777777,27170.13333333333,227.55555555555475,0.25,4/4,S,2,7,0
B4,27170.13333333333,27397.68888888889,227.55555555555839,0.25,4/4,B,2,7,0
E♯5,27397.68888888889,27556.977777777778,159.28888888888832,0.25,4/4,S,2,7,0
C♯5,27556.977777777778,27761.777777777777,204.79999999999927,0.25,4/4,B,2,7,0
G♯5,27761.777777777777,27943.822222222225,182.04444444444744,0.25,4/4,S,2,7,0
B4,27943.822222222225,28125.86666666667,182.0444444444438,0.25,4/4,B,2,7,0
A4,28125.86666666667,28330.666666666664,204.79999999999563,0.25,4/4,B,2,7,0
C♯5,28330.666666666664,28558.222222222223,227.55555555555839,0.25,4/4,S,2,7,0
F♯5,28558.222222222223,28717.51111111111,159.28888888888832,0.25,4/4,S,2,7,0
A4,28717.51111111111,28922.31111111111,204.79999999999927,0.25,4/4,B,2,7,0
B4,28922.31111111111,29286.4,364.08888888889123,0.25,4/4,B,2,7,0
G♯5,29286.4,29331.911111111112,45.51111111111095,0.25,4/4,S,2,7,0
C♯5,29331.911111111112,29559.466666666667,227.55555555555475,0.25,4/4,B,2,7,0
E♯5,29559.466666666667,29787.022222222222,227.55555555555475,0.25,4/4,S,2,7,0
F♯4,29787.022222222222,30060.088888888888,273.0666666666657,0.25,4/4,x,2,8,0
A4,30060.088888888888,30219.377777777776,159.28888888888832,0.25,4/4,x,2,8,0
C♯5,30219.377777777776,30355.911111111112,136.5333333333365,0.25,4/4,x,2,8,0
F♯5,30355.911111111112,30378.666666666668,22.755555555555475,0.25,4/4,x,2,8,0
0,30378.666666666668,30970.31111111111,591.6444444444423,0.25,4/4,.,2,8,0
A5,30970.31111111111,31152.355555555554,182.0444444444438,0.25,4/4,S,2,8,0
C♯5,31152.355555555554,31425.422222222223,273.06666666666933,0.25,4/4,B,2,8,0
E5,31425.422222222223,31607.466666666667,182.0444444444438,0.25,4/4,x,2,8,0
D♯5,31607.466666666667,31812.266666666666,204.79999999999927,0.25,4/4,B,2,8,0
F♯5,31812.266666666666,31971.555555555555,159.28888888888832,0.25,4/4,S,2,8,0
B4,31971.555555555555,32176.355555555554,204.79999999999927,0.25,4/4,B,2,8,0
B5,32176.355555555554,32517.68888888889,341.33333333333576,0.25,4/4,S,2,8,0
C♯5,32517.68888888889,32768.0,250.31111111111022,0.25,4/4,B,2,8,0
A5,32768.0,32790.75555555556,22.755555555559113,0.25,4/4,S,2,8,0
D♯5,32790.75555555556,32995.555555555555,204.79999999999563,0.25,4/4,B,2,8,0
F♯5,32995.555555555555,33200.35555555555,204.79999999999563,0.25,4/4,S,2,8,0
E4,33200.35555555555,33427.911111111105,227.55555555555475,0.25,4/4,x,2,9,0
G4,33427.911111111105,33632.711111111115,204.8000000000102,0.25,4/4,x,2,9,0
B4,33632.711111111115,34019.555555555555,386.84444444443943,0.25,4/4,x,2,9,0
E5,34019.555555555555,34315.37777777778,295.8222222222248,0.25,4/4,x,2,9,0
0,34315.37777777778,34429.15555555555,113.77777777777374,0.25,4/4,.,2,9,0
G5,34429.15555555555,34633.95555555555,204.79999999999563,0.25,4/4,S,2,9,0
B4,34633.95555555555,34861.51111111111,227.55555555556202,0.25,4/4,B,2,9,0
