Note,Onset (ms),Offset (ms),Time_duration (ms),Score_duration,Time-Signature,Voice,Movment,Measure,Repeated
0,0,318.5777777777778,318.5777777777778,0,0,.,x,x,.
C5,318.5777777777778,523.3777777777779,204.80000000000007,0.5,4/4,B,1,1,0
E5,523.3777777777779,614.4,91.02222222222213,0.5,4/4,S,1,2,0
C5,614.4,773.6888888888889,159.2888888888889,0.5,4/4,B,1,2,0
F5,773.6888888888889,887.4666666666666,113.77777777777771,0.5,4/4,S,1,2,0
C5,887.4666666666666,978.4888888888888,91.02222222222224,0.5,4/4,B,1,2,0
G5,978.4888888888888,1115.0222222222221,136.5333333333333,0.5,4/4,S,1,2,0
C5,1115.0222222222221,1228.8,113.77777777777783,0.5,4/4,B,1,2,0
E5,1228.8,1297.0666666666666,68.26666666666665,0.5,4/4,S,1,2,0
C5,1297.0666666666666,1456.3555555555556,159.288888888889,0.5,4/4,B,1,2,0
F5,1456.3555555555556,1570.1333333333334,113.77777777777783,0.5,4/4,S,1,3,0
C5,1570.1333333333334,1683.911111111111,113.7777777777776,0.5,4/4,B,1,3,0
G5,1683.911111111111,1820.4444444444446,136.53333333333353,0.5,4/4,S,1,3,0
C5,1820.4444444444446,1934.2222222222224,113.77777777777783,0.5,4/4,B,1,3,0
A5,1934.2222222222224,2048.0,113.7777777777776,0.5,4/4,S,1,3,0
C5,2048.0,2161.7777777777774,113.77777777777737,0.5,4/4,B,1,3,0
G5,2161.7777777777774,2298.311111111111,136.53333333333376,0.5,4/4,S,1,3,0
C5,2298.311111111111,2389.3333333333335,91.02222222222235,0.5,4/4,B,1,3,0
A5,2389.3333333333335,2525.8666666666663,136.53333333333285,0.5,4/4,S,1,4,0
C5,2525.8666666666663,2639.6444444444446,113.77777777777828,0.5,4/4,B,1,4,0
B5,2639.6444444444446,2730.6666666666665,91.0222222222219,0.5,4/4,S,1,4,0
C5,2730.6666666666665,2889.9555555555553,159.28888888888878,0.5,4/4,B,1,4,0
C6,2889.9555555555553,2980.977777777778,91.02222222222281,0.5,4/4,S,1,4,0
C5,2980.977777777778,3140.266666666667,159.28888888888878,0.5,4/4,x,1,4,0
E5,3140.266666666667,3208.5333333333333,68.26666666666642,0.5,4/4,x,1,4,0
G5,3208.5333333333333,3345.066666666667,136.53333333333376,0.5,4/4,x,1,4,0
C6,3345.066666666667,3458.8444444444444,113.77777777777737,0.5,4/4,x,1,5,0
C5,3458.8444444444444,3618.133333333333,159.28888888888878,0.5,4/4,x,1,5,0
E5,3618.133333333333,3686.4,68.26666666666688,0.5,4/4,x,1,5,0
G5,3686.4,3777.422222222222,91.0222222222219,0.5,4/4,x,1,5,0
C6,3777.422222222222,4710.4,932.9777777777776,1.0,4/4,x,1,5,0
0,4710.4,6235.022222222222,1524.6222222222223,1.0,4/4,.,1,5,0
0,6235.022222222222,6257.777777777778,22.755555555556384,0,0,.,x,x,.
C5,6257.777777777778,6439.822222222222,182.0444444444438,0.0,3/2,x,2,6,0
E5,6439.822222222222,6553.6,113.77777777777828,0.0,3/2,x,2,6,0
G5,6553.6,8078.222222222223,1524.6222222222223,3.0,3/2,x,2,6,0
A5,8078.222222222223,8396.800000000001,318.57777777777846,1.0,3/2,x,2,6,0
F5,8396.800000000001,9307.022222222222,910.2222222222208,2.0,3/2,x,2,6,0
G4,9307.022222222222,9466.31111111111,159.28888888888832,0.0,3/2,x,2,7,0
C5,9466.31111111111,9671.111111111111,204.8000000000011,0.0,3/2,x,2,7,0
E5,9671.111111111111,11104.711111111112,1433.6000000000004,3.0,3/2,x,2,7,0
F5,11104.711111111112,11582.577777777777,477.86666666666497,1.0,3/2,x,2,7,0
D5,11582.577777777777,12538.311111111112,955.7333333333354,2.0,3/2,x,2,7,0
E4,12538.311111111112,12697.6,159.28888888888832,0.0,3/2,x,2,8,0
G4,12697.6,12811.377777777778,113.77777777777737,0.0,3/2,x,2,8,0
C5,12811.377777777778,14427.022222222222,1615.6444444444442,3.0,3/2,x,2,8,0
E5,14427.022222222222,14791.111111111111,364.0888888888894,1.0,3/2,x,2,8,0
D5,14791.111111111111,15837.866666666667,1046.7555555555555,2.0,3/2,x,2,8,0
E5,15837.866666666667,17225.955555555553,1388.0888888888858,1.5,3/2,x,2,9,0
D5,17225.955555555553,17339.733333333334,113.77777777778101,0.25,3/2,x,2,9,0
E5,17339.733333333334,17590.044444444444,250.31111111111022,0.25,3/2,x,2,9,0
D5,17590.044444444444,19069.155555555553,1479.1111111111095,2.0,3/2,x,2,9,0
0,19069.155555555553,20798.577777777777,1729.4222222222234,0,0,.,x,x,.
0,20798.577777777777,20821.333333333332,22.755555555555475,0.5,4/4,.,3,10,0
G4,20821.333333333332,21003.37777777778,182.04444444444744,0.5,4/4,x,3,10,0
B4,21003.37777777778,21139.911111111112,136.53333333333285,0.5,4/4,x,3,11,0
G4,21139.911111111112,21253.68888888889,113.77777777777737,0.5,4/4,x,3,11,0
C5,21253.68888888889,21367.466666666664,113.77777777777374,0.5,4/4,x,3,11,0
G4,21367.466666666664,21504.0,136.5333333333365,0.5,4/4,x,3,11,0
D5,21504.0,21617.777777777777,113.77777777777737,0.5,4/4,x,3,11,0
G4,21617.777777777777,21708.8,91.0222222222219,0.5,4/4,x,3,11,0
B4,21708.8,21822.577777777777,113.77777777777737,0.5,4/4,x,3,11,0
G4,21822.577777777777,21936.355555555554,113.77777777777737,0.5,4/4,x,3,11,0
C5,21936.355555555554,22050.133333333335,113.77777777778101,0.5,4/4,x,3,12,0
G4,22050.133333333335,22209.422222222223,159.28888888888832,0.5,4/4,x,3,12,0
D5,22209.422222222223,22323.2,113.77777777777737,0.5,4/4,x,3,12,0
G4,22323.2,22436.977777777778,113.77777777777737,0.5,4/4,x,3,12,0
E5,22436.977777777778,22528.0,91.0222222222219,0.5,4/4,x,3,12,0
G4,22528.0,22687.288888888892,159.28888888889196,0.5,4/4,x,3,12,0
D5,22687.288888888892,22801.066666666666,113.77777777777374,0.5,4/4,x,3,12,0
G4,22801.066666666666,22892.088888888888,91.0222222222219,0.5,4/4,x,3,12,0
E5,22892.088888888888,23028.62222222222,136.53333333333285,0.5,4/4,x,3,13,0
G4,23028.62222222222,23165.155555555553,136.53333333333285,0.5,4/4,x,3,13,0
F♯5,23165.155555555553,23233.422222222223,68.26666666667006,0.5,4/4,x,3,13,0
G4,23233.422222222223,23415.466666666667,182.0444444444438,0.5,4/4,x,3,13,0
G5,23415.466666666667,23574.755555555555,159.28888888888832,0.5,4/4,x,3,13,0
G4,23574.755555555555,23734.044444444444,159.28888888888832,0.5,4/4,b,3,13,0
B4,23734.044444444444,23893.333333333336,159.28888888889196,0.5,4/4,b,3,13,0
D5,23893.333333333336,24007.111111111113,113.77777777777737,0.5,4/4,b,3,13,0
G5,24007.111111111113,24098.13333333333,91.02222222221826,0.5,4/4,x,3,14,0
G4,24098.13333333333,24189.155555555553,91.0222222222219,0.5,4/4,b,3,14,0
B4,24189.155555555553,24371.2,182.04444444444744,0.5,4/4,b,3,14,0
D5,24371.2,24462.222222222223,91.0222222222219,0.5,4/4,b,3,14,0
G5,24462.222222222223,24621.51111111111,159.28888888888832,1.0,4/4,x,3,14,0
0,24621.51111111111,26692.266666666666,2070.7555555555555,1.0,4/4,.,3,14,0
0,26692.266666666666,26715.022222222222,22.755555555555475,0,0,.,x,x,.
G4,26715.022222222222,26897.066666666666,182.0444444444438,0.0,3/2,x,4,15,0
B4,26897.066666666666,27101.866666666665,204.79999999999927,0.0,3/2,x,4,15,0
D5,27101.866666666665,28489.955555555556,1388.0888888888912,3.0,3/2,x,4,15,0
E5,28489.955555555556,28831.28888888889,341.3333333333321,1.0,3/2,x,4,15,0
C5,28831.28888888889,29673.244444444445,841.9555555555562,2.0,3/2,x,4,15,0
D4,29673.244444444445,29809.777777777777,136.53333333333285,0.0,3/2,x,4,16,0
G4,29809.777777777777,29946.31111111111,136.53333333333285,0.0,3/2,x,4,16,0
B4,29946.31111111111,31448.17777777778,1501.8666666666686,3.0,3/2,x,4,16,0
C5,31448.17777777778,31744.0,295.82222222222117,1.0,3/2,x,4,16,0
A4,31744.0,32654.222222222223,910.2222222222226,2.0,3/2,x,4,16,0
G4,32654.222222222223,32676.977777777778,22.755555555555475,0.0,3/2,x,4,17,0
F♯4,32676.977777777778,33314.13333333333,637.1555555555533,0.0,3/2,x,4,17,0
G4,33314.13333333333,34292.62222222222,978.488888888889,3.0,3/2,x,4,17,0
B4,34292.62222222222,34770.48888888889,477.8666666666686,1.0,3/2,x,4,17,0
A4,34770.48888888889,35771.73333333333,1001.2444444444409,2.0,3/2,x,4,17,0
B4,35771.73333333333,37410.13333333333,1638.4000000000015,1.5,3/2,x,4,18,0
A4,37410.13333333333,37501.15555555555,91.0222222222219,0.25,3/2,x,4,18,0
B4,37501.15555555555,37614.933333333334,113.77777777778101,0.25,3/2,x,4,18,0
A4,37614.933333333334,39116.799999999996,1501.8666666666613,2.0,3/2,x,4,18,0
D5,39116.799999999996,40300.08888888889,1183.288888888892,2.0,3/2,x,4,18,0
E4,40300.08888888889,41164.8,864.7111111111153,1.5,3/2,x,4,19,0
D5,41164.8,41346.84444444444,182.04444444443652,0.5,3/2,x,4,19,0
G5,41346.84444444444,42188.8,841.9555555555635,1.5,3/2,x,4,19,0
B4,42188.8,42370.84444444445,182.0444444444438,0.5,3/2,x,4,19,0
C5,42370.84444444445,43440.35555555556,1069.511111111111,2.0,3/2,x,4,19,0
F♯4,43440.35555555556,44236.8,796.4444444444453,1.5,3/2,x,4,20,0
C5,44236.8,44464.35555555556,227.55555555555475,0.5,3/2,x,4,20,0
A5,44464.35555555556,45329.06666666667,864.7111111111153,1.5,3/2,x,4,20,0
B4,45329.06666666667,45579.37777777778,250.31111111110658,0.5,3/2,x,4,20,0
C5,45579.37777777778,46626.13333333334,1046.755555555559,2.0,3/2,x,4,20,0
G4,46626.13333333334,47445.33333333333,819.1999999999898,1.5,3/2,x,4,21,0
C5,47445.33333333333,47650.13333333334,204.8000000000102,0.5,3/2,x,4,21,0
B4,47650.13333333334,48492.08888888889,841.9555555555489,1.5,3/2,x,4,21,0
G5,48492.08888888889,48765.15555555556,273.066666666673,0.5,3/2,x,4,21,0
D4,48765.15555555556,49652.62222222222,887.4666666666599,1.5,3/2,x,4,21,0
F♯5,49652.62222222222,49902.93333333333,250.31111111110658,0.5,3/2,x,4,21,0
G4,49902.93333333333,50744.88888888889,841.9555555555635,1.5,3/2,x,4,22,0
B4,50744.88888888889,50949.688888888886,204.79999999999563,0.25,3/2,x,4,22,0
D5,50949.688888888886,51040.71111111111,91.0222222222219,0.25,3/2,x,4,22,0
G5,51040.71111111111,52041.955555555556,1001.2444444444482,1.5,3/2,x,4,22,0
G4,52041.955555555556,52428.8,386.8444444444467,0.5,3/2,x,4,22,0
D5,52428.8,53566.577777777784,1137.777777777781,2.0,3/2,x,4,22,0
E4,53566.577777777784,54431.288888888885,864.7111111111008,1.5,3/2,x,4,23,0
D5,54431.288888888885,54704.35555555556,273.066666666673,0.5,3/2,x,4,23,0
G5,54704.35555555556,55500.799999999996,796.444444444438,1.5,3/2,x,4,23,0
B4,55500.799999999996,55773.86666666666,273.0666666666657,0.5,3/2,x,4,23,0
C5,55773.86666666666,56934.399999999994,1160.5333333333328,2.0,3/2,x,4,23,0
F♯4,56934.399999999994,57753.6,819.2000000000044,1.5,3/2,x,4,24,0
C5,57753.6,58185.955555555556,432.35555555555766,0.5,3/2,x,4,24,0
A5,58185.955555555556,59164.444444444445,978.488888888889,1.5,3/2,x,4,24,0
B4,59164.444444444445,59505.77777777778,341.33333333333576,0.5,3/2,x,4,24,0
C5,59505.77777777778,60734.57777777778,1228.7999999999956,2.0,3/2,x,4,24,0
G4,60734.57777777778,61622.044444444444,887.4666666666672,1.5,3/2,x,4,25,0
C5,61622.044444444444,61895.11111111112,273.066666666673,0.5,3/2,x,4,25,0
B4,61895.11111111112,62964.62222222223,1069.511111111111,1.5,3/2,x,4,25,0
G5,62964.62222222223,63237.68888888889,273.0666666666657,0.5,3/2,x,4,25,0
D4,63237.68888888889,64238.933333333334,1001.2444444444409,1.5,3/2,x,4,25,0
F♯5,64238.933333333334,64853.333333333336,614.4000000000015,0.5,3/2,x,4,25,0
G4,64853.333333333336,68357.6888888889,3504.3555555555577,6.0,3/2,x,4,26,0
0,68357.6888888889,71884.8,3527.1111111111095,0,0,.,x,x,.
C5,71884.8,72385.42222222222,500.62222222221317,1.5,9/8,B,5,27,0
A4,72385.42222222222,72908.8,523.3777777777868,1.5,9/8,B,5,27,0
D5,72908.8,73386.66666666667,477.8666666666686,1.5,9/8,B,5,27,0
B4,73386.66666666667,73910.04444444444,523.3777777777723,1.5,9/8,B,5,28,0
G4,73910.04444444444,74365.15555555555,455.1111111111095,1.5,9/8,B,5,28,0
C5,74365.15555555555,74865.77777777778,500.6222222222277,1.5,9/8,B,5,28,0
A4,74865.77777777778,75366.4,500.62222222221317,1.5,9/8,B,5,29,0
F4,75366.4,75844.26666666666,477.8666666666686,1.5,9/8,B,5,29,0
G4,75844.26666666666,76322.13333333333,477.8666666666686,1.5,9/8,B,5,29,0
C5,76322.13333333333,76663.46666666666,341.3333333333285,1.0,9/8,B,5,30,0
E5,76663.46666666666,76822.75555555556,159.28888888889924,0.5,9/8,S,5,30,0
A4,76822.75555555556,77118.57777777777,295.82222222221026,1.0,9/8,B,5,30,0
A5,77118.57777777777,77300.62222222221,182.0444444444438,0.5,9/8,S,5,30,0
D5,77300.62222222221,77573.6888888889,273.06666666668025,1.0,9/8,B,5,30,0
F♯5,77573.6888888889,77755.73333333334,182.0444444444438,0.5,9/8,S,5,30,0
B4,77755.73333333334,78074.31111111112,318.5777777777839,1.0,9/8,B,5,31,0
G5,78074.31111111112,78233.59999999999,159.28888888887013,0.5,9/8,S,5,31,0
G4,78233.59999999999,78529.42222222222,295.8222222222248,1.0,9/8,B,5,31,0
F5,78529.42222222222,78711.46666666666,182.0444444444438,0.5,9/8,S,5,31,0
C5,78711.46666666666,78984.53333333333,273.0666666666657,1.0,9/8,B,5,31,0
E5,78984.53333333333,79166.57777777777,182.0444444444438,0.5,9/8,S,5,31,0
A4,79166.57777777777,79439.64444444444,273.0666666666657,1.0,9/8,B,5,32,0
F5,79439.64444444444,79621.68888888888,182.0444444444438,0.5,9/8,S,5,32,0
F4,79621.68888888888,79894.75555555556,273.06666666668025,1.0,9/8,B,5,32,0
E5,79894.75555555556,80054.04444444444,159.28888888888469,0.5,9/8,S,5,32,0
