Note,Onset (ms),Offset (ms),Time_duration (ms),Score_duration,Time-Signature,Voice,Movment,Measure,Repeated
0,0,568.8888888888889,568.8888888888889,0,0,.,x,x,.
F5,568.8888888888889,1092.2666666666667,523.3777777777777,0.375,4/4,x,1,1,0
B♭4,1092.2666666666667,1274.3111111111111,182.04444444444448,0.125,4/4,x,1,1,0
G5,1274.3111111111111,2867.2,1592.8888888888887,0.5,4/4,S,1,2,0
G5,2867.2,2889.9555555555553,22.755555555555475,0.5,4/4,S,1,2,0
E♭4,2889.9555555555553,3436.088888888889,546.1333333333337,0.5,4/4,b,1,2,0
G5,3436.088888888889,4664.888888888889,1228.7999999999997,0.5,4/4,S,1,2,0
G5,4664.888888888889,4687.644444444444,22.755555555555475,0.375,4/4,S,1,2,0
E♭5,4687.644444444444,4801.422222222222,113.77777777777828,0.125,4/4,x,1,2,0
F5,4801.422222222222,5666.133333333334,864.7111111111117,0.5,4/4,S,1,2,0
0,5666.133333333334,6166.7555555555555,500.62222222222135,0.5,4/4,.,1,2,0
D5,6166.7555555555555,6690.133333333334,523.3777777777786,0.375,4/4,x,1,2,0
B♭4,6690.133333333334,6849.422222222222,159.28888888888832,0.125,4/4,x,1,2,0
E♭5,6849.422222222222,8237.511111111111,1388.0888888888885,0.5,4/4,S,1,3,0
E♭5,8237.511111111111,8260.266666666666,22.755555555555475,0.5,4/4,S,1,3,0
F4,8260.266666666666,8874.666666666666,614.3999999999996,0.5,4/4,b,1,3,0
E♭5,8874.666666666666,10080.71111111111,1206.0444444444438,0.5,4/4,S,1,3,0
E♭5,10080.71111111111,10103.466666666665,22.755555555555475,0.375,4/4,S,1,3,0
C5,10103.466666666665,10148.977777777778,45.51111111111277,0.125,4/4,x,1,3,0
D5,10148.977777777778,10171.733333333334,22.755555555555475,0.5,4/4,S,1,3,0
0,10171.733333333334,10308.266666666666,136.53333333333285,0.5,4/4,.,1,3,0
D5,10308.266666666666,12037.68888888889,1729.4222222222234,0.375,4/4,S,1,3,0
E♭5,12037.68888888889,12333.511111111111,295.82222222222117,0.125,4/4,S,1,3,0
F♯4,12333.511111111111,12970.666666666666,637.1555555555551,0.5,4/4,b,1,4,0
A5,12970.666666666666,13653.333333333334,682.6666666666679,0.5,4/4,S,1,4,0
D4,13653.333333333334,13903.644444444444,250.31111111111022,0.25,4/4,b,1,4,0
E♭5,13903.644444444444,14290.488888888889,386.8444444444449,0.25,4/4,x,1,4,0
D5,14290.488888888889,14631.822222222223,341.33333333333394,0.25,4/4,x,1,4,0
C5,14631.822222222223,14927.644444444444,295.82222222222117,0.25,4/4,x,1,4,0
B♭4,14927.644444444444,15337.244444444445,409.60000000000036,0.25,4/4,x,1,4,0
G4,15337.244444444445,15701.333333333332,364.0888888888876,0.25,4/4,x,1,4,0
A4,15701.333333333332,16019.91111111111,318.57777777777846,0.25,4/4,x,1,4,0
F♯4,16019.91111111111,16315.733333333334,295.822222222223,0.25,4/4,x,1,4,0
G4,16315.733333333334,17134.933333333334,819.2000000000007,0.5,4/4,x,1,4,0
G5,17134.933333333334,17772.088888888888,637.1555555555533,0.375,4/4,x,1,4,0
B♭5,17772.088888888888,18067.911111111112,295.8222222222248,0.125,4/4,x,1,4,0
C♯5,18067.911111111112,18454.755555555555,386.84444444444307,0.5,4/4,B,1,5,0
E6,18454.755555555555,19114.666666666668,659.9111111111124,0.5,4/4,S,1,5,0
A4,19114.666666666668,19524.266666666666,409.59999999999854,0.25,4/4,b,1,5,0
B♭5,19524.266666666666,19842.844444444447,318.5777777777803,0.25,4/4,x,1,5,0
A5,19842.844444444447,20252.44444444444,409.5999999999949,0.25,4/4,x,1,5,0
G5,20252.44444444444,20457.244444444445,204.8000000000029,0.25,4/4,x,1,5,0
F5,20457.244444444445,20980.622222222224,523.3777777777796,0.25,4/4,x,1,5,0
D5,20980.622222222224,21139.911111111112,159.28888888888832,0.25,4/4,x,1,5,0
E5,21139.911111111112,21731.555555555555,591.6444444444423,0.25,4/4,x,1,5,0
C♯5,21731.555555555555,21754.31111111111,22.755555555555475,0.25,4/4,x,1,5,0
D5,21754.31111111111,22072.88888888889,318.5777777777803,0.25,4/4,x,1,5,0
B4,22072.88888888889,22436.977777777778,364.0888888888876,0.25,4/4,x,1,5,0
C5,22436.977777777778,22710.044444444444,273.0666666666657,0.25,4/4,x,1,5,0
D5,22710.044444444444,23028.62222222222,318.57777777777665,0.25,4/4,x,1,5,0
E♭4,23028.62222222222,23369.955555555556,341.33333333333576,0.25,4/4,b,1,6,0
F♯5,23369.955555555556,23802.311111111114,432.35555555555766,0.25,4/4,x,1,6,0
G5,23802.311111111114,24075.37777777778,273.0666666666657,0.25,4/4,S,1,6,0
C5,24075.37777777778,24325.688888888886,250.31111111110658,0.25,4/4,x,1,6,0
G4,24325.688888888886,24667.022222222222,341.33333333333576,0.25,4/4,x,1,6,0
D5,24667.022222222222,25053.86666666667,386.8444444444467,0.25,4/4,x,1,6,0
C5,25053.86666666667,25235.911111111112,182.0444444444438,0.25,4/4,x,1,6,0
B4,25235.911111111112,26919.82222222222,1683.9111111111088,0.25,4/4,x,1,6,0
B4,26919.82222222222,26942.577777777777,22.755555555555475,0.5,4/4,x,1,6,0
C5,26942.577777777777,28262.399999999998,1319.8222222222212,0.5,4/4,x,1,6,0
0,28262.399999999998,28376.177777777775,113.77777777777737,0.5,4/4,.,1,6,0
C5,28376.177777777775,28398.93333333333,22.755555555555475,0.375,4/4,x,1,6,0
E♭5,28398.93333333333,28489.955555555556,91.02222222222554,0.125,4/4,x,1,6,0
A4,28489.955555555556,28876.8,386.84444444444307,0.25,4/4,x,1,7,0
E5,28876.8,29218.133333333335,341.33333333333576,0.25,4/4,x,1,7,0
F5,29218.133333333335,29491.2,273.0666666666657,0.25,4/4,x,1,7,0
G4,29491.2,29809.777777777777,318.57777777777665,0.25,4/4,x,1,7,0
F4,29809.777777777777,30128.355555555554,318.57777777777665,0.25,4/4,b,1,7,0
E♭5,30128.355555555554,30560.71111111111,432.35555555555766,0.25,4/4,x,1,7,0
D5,30560.71111111111,30833.77777777778,273.06666666666933,0.25,4/4,x,1,7,0
C5,30833.77777777778,31084.088888888888,250.31111111110658,0.25,4/4,x,1,7,0
D5,31084.088888888888,31539.2,455.11111111111313,0.25,4/4,x,1,7,0
C5,31539.2,31675.733333333334,136.53333333333285,0.25,4/4,x,1,7,0
B♭4,31675.733333333334,32517.68888888889,841.9555555555562,0.5,4/4,x,1,7,0
0,32517.68888888889,33018.311111111114,500.6222222222241,0.5,4/4,.,1,7,0
F5,33018.311111111114,33564.444444444445,546.1333333333314,0.375,4/4,x,1,7,0
B♭4,33564.444444444445,33700.97777777778,136.53333333333285,0.125,4/4,x,1,7,0
G5,33700.97777777778,34156.08888888889,455.1111111111095,0.25,4/4,S,1,8,0
E♭4,34156.08888888889,34542.93333333333,386.84444444443943,0.25,4/4,b,1,8,0
D4,34542.93333333333,34770.48888888889,227.55555555556202,0.25,4/4,b,1,8,0
F5,34770.48888888889,35089.066666666666,318.57777777777665,0.25,4/4,S,1,8,0
E♭5,35089.066666666666,35430.4,341.33333333333576,0.25,4/4,S,1,8,0
G4,35430.4,35748.97777777778,318.57777777777665,0.25,4/4,x,1,8,0
F4,35748.97777777778,36022.044444444444,273.0666666666657,0.25,4/4,x,1,8,0
D5,36022.044444444444,36363.37777777778,341.33333333333576,0.25,4/4,S,1,8,0
E♭4,36363.37777777778,36659.2,295.82222222221753,0.25,4/4,b,1,8,0
D5,36659.2,37091.55555555556,432.35555555556493,0.25,4/4,S,1,8,0
C5,37091.55555555556,37296.35555555556,204.79999999999563,0.25,4/4,x,1,8,0
G5,37296.35555555556,37614.933333333334,318.57777777777665,0.25,4/4,S,1,8,0
E♭5,37614.933333333334,38047.288888888885,432.3555555555504,0.25,4/4,x,1,8,0
D5,38047.288888888885,38274.84444444445,227.55555555556202,0.25,4/4,x,1,8,0
C5,38274.84444444445,38593.42222222222,318.57777777777665,0.25,4/4,x,1,8,0
B♭4,38593.42222222222,38889.24444444444,295.82222222221753,0.25,4/4,x,1,8,0
A4,38889.24444444444,39230.57777777778,341.33333333333576,0.25,4/4,x,1,9,0
G4,39230.57777777778,39503.64444444445,273.066666666673,0.25,4/4,x,1,9,0
F4,39503.64444444445,40527.64444444445,1024.0,0.5,4/4,x,1,9,0
0,40527.64444444445,40891.73333333334,364.0888888888876,0.5,4/4,.,1,9,0
B♭5,40891.73333333334,41460.62222222222,568.8888888888832,0.375,4/4,S,1,9,0
B♭4,41460.62222222222,42052.26666666667,591.6444444444496,0.125,4/4,B,1,9,0
B♭4,42052.26666666667,42075.02222222222,22.755555555551837,0.25,4/4,b,1,9,0
B♭5,42075.02222222222,42188.8,113.77777777778101,0.125,4/4,S,1,9,0
A5,42188.8,42279.822222222225,91.0222222222219,0.125,4/4,x,1,9,0
B♭5,42279.822222222225,42666.666666666664,386.84444444443943,0.25,4/4,S,1,9,0
D4,42666.666666666664,43008.0,341.33333333333576,0.25,4/4,b,1,9,0
E♭4,43008.0,43645.15555555555,637.1555555555533,0.5,4/4,b,1,9,0
B♭5,43645.15555555555,44145.77777777778,500.6222222222277,0.375,4/4,S,1,9,0
B♭4,44145.77777777778,44578.13333333333,432.3555555555504,0.125,4/4,b,1,9,0
B♭4,44578.13333333333,44600.88888888889,22.755555555559113,0.25,4/4,b,1,10,0
B♭5,44600.88888888889,44760.177777777775,159.28888888888469,0.125,4/4,S,1,10,0
A5,44760.177777777775,44851.2,91.0222222222219,0.125,4/4,x,1,10,0
B♭5,44851.2,45192.53333333333,341.33333333333576,0.25,4/4,S,1,10,0
F4,45192.53333333333,45511.11111111111,318.57777777777665,0.25,4/4,b,1,10,0
G4,45511.11111111111,46193.777777777774,682.6666666666642,0.5,4/4,b,1,10,0
B♭5,46193.777777777774,46648.88888888889,455.11111111111677,0.375,4/4,S,1,10,0
B♭4,46648.88888888889,46899.2,250.31111111110658,0.125,4/4,b,1,10,0
C5,46899.2,47172.26666666666,273.0666666666657,0.25,4/4,x,1,10,0
E♭4,47172.26666666666,47490.84444444444,318.57777777777665,0.25,4/4,x,1,10,0
F4,47490.84444444444,47786.66666666667,295.8222222222321,0.25,4/4,x,1,10,0
D5,47786.66666666667,48128.0,341.3333333333285,0.25,4/4,x,1,10,0
E♭5,48128.0,48446.57777777778,318.57777777777665,0.25,4/4,x,1,10,0
G4,48446.57777777778,48765.15555555556,318.5777777777839,0.25,4/4,x,1,10,0
A4,48765.15555555556,49015.46666666667,250.31111111110658,0.25,4/4,x,1,10,0
F5,49015.46666666667,49334.044444444444,318.57777777777665,0.25,4/4,x,1,10,0
E♭5,49334.044444444444,49698.13333333333,364.0888888888876,0.25,4/4,x,1,11,0
D5,49698.13333333333,50153.24444444445,455.11111111111677,0.25,4/4,x,1,11,0
C5,50153.24444444445,50335.28888888889,182.0444444444438,0.25,4/4,x,1,11,0
B♭4,50335.28888888889,50653.86666666667,318.57777777777665,0.25,4/4,x,1,11,0
F4,50653.86666666667,51040.71111111111,386.84444444443943,0.25,4/4,x,1,11,0
B♭4,51040.71111111111,51336.53333333333,295.8222222222248,0.25,4/4,x,1,11,0
E♭4,51336.53333333333,51677.86666666667,341.33333333333576,0.25,4/4,x,1,11,0
A4,51677.86666666667,52041.955555555556,364.0888888888876,0.25,4/4,x,1,11,0
D4,52041.955555555556,52155.73333333333,113.77777777777374,0.125,4/4,x,1,11,0
F4,52155.73333333333,52269.51111111112,113.77777777778829,0.125,4/4,x,1,11,0
B♭4,52269.51111111112,53179.73333333333,910.2222222222117,0.75,4/4,x,1,11,0
0,53179.73333333333,53839.64444444444,659.9111111111124,0.5,4/4,.,1,11,0
