Note,Onset (ms),Offset (ms),Time_duration (ms),Score_duration,Time-Signature,Voice,Movment,Measure,Repeated
0,0,5779.911111111111,5779.911111111111,0,0,.,x,x,.
B4,5779.911111111111,6326.044444444445,546.1333333333341,0.25,4/4,x,1,1,0
D5,6326.044444444445,6621.866666666667,295.8222222222221,0.25,4/4,x,1,1,0
F♯5,6621.866666666667,9830.4,3208.533333333333,1.5,4/4,x,1,1,0
A4,9830.4,10422.044444444446,591.644444444446,0.25,4/4,x,1,1,0
C♯5,10422.044444444446,10626.844444444445,204.79999999999927,0.25,4/4,x,1,1,0
F♯5,10626.844444444445,13539.555555555555,2912.71111111111,1.5,4/4,x,1,1,0
G4,13539.555555555555,14062.933333333334,523.3777777777796,0.25,4/4,x,1,2,0
B4,14062.933333333334,14472.533333333333,409.59999999999854,0.25,4/4,x,1,2,0
E5,14472.533333333333,16065.422222222222,1592.8888888888887,1.0,4/4,x,1,2,0
E♯5,16065.422222222222,16634.31111111111,568.8888888888887,0.25,4/4,x,1,2,0
F♯5,16634.31111111111,17294.22222222222,659.9111111111088,0.25,4/4,x,1,2,0
F♯4,17294.22222222222,18682.31111111111,1388.0888888888912,1.0,4/4,x,1,2,0
0,18682.31111111111,19683.55555555556,1001.2444444444482,1.0,4/4,.,1,2,0
0,19683.55555555556,19706.311111111114,22.755555555555475,0,0,.,x,x,.
0,19706.311111111114,19729.06666666667,22.755555555555475,0.25,4/4,.,2,3,0
D5,19729.06666666667,19933.86666666667,204.79999999999927,0.125,4/4,S,2,3,0
C♯5,19933.86666666667,19956.62222222222,22.755555555551837,0.125,4/4,x,2,3,0
D5,19956.62222222222,20184.177777777775,227.55555555555475,0.25,4/4,S,2,3,0
B4,20184.177777777775,20411.733333333334,227.55555555555839,0.25,4/4,B,2,3,0
G5,20411.733333333334,20684.8,273.0666666666657,0.25,4/4,S,2,3,0
B4,20684.8,20866.844444444447,182.04444444444744,0.25,4/4,B,2,3,0
C♯5,20866.844444444447,20889.600000000002,22.755555555555475,0.25,4/4,B,2,3,0
G5,20889.600000000002,21412.977777777774,523.3777777777723,0.25,4/4,S,2,3,0
D5,21412.977777777774,21663.28888888889,250.31111111111386,0.25,4/4,B,2,3,0
F♯5,21663.28888888889,21754.31111111111,91.0222222222219,0.125,4/4,S,2,3,0
E5,21754.31111111111,21868.088888888888,113.77777777777737,0.125,4/4,x,2,3,0
F♯5,21868.088888888888,22118.4,250.31111111111386,0.25,4/4,S,2,3,0
D5,22118.4,22323.2,204.79999999999927,0.25,4/4,B,2,3,0
A5,22323.2,23005.866666666665,682.6666666666642,0.25,4/4,S,2,3,0
C♯5,23005.866666666665,23028.62222222222,22.755555555555475,0.25,4/4,B,2,3,0
D♯5,23028.62222222222,23051.377777777776,22.755555555555475,0.25,4/4,B,2,3,0
A5,23051.377777777776,23324.444444444445,273.06666666666933,0.25,4/4,S,2,3,0
E5,23324.444444444445,23552.0,227.55555555555475,0.25,4/4,B,2,4,0
G5,23552.0,23643.022222222222,91.0222222222219,0.125,4/4,S,2,4,0
F♯5,23643.022222222222,23756.8,113.77777777777737,0.125,4/4,x,2,4,0
G5,23756.8,24029.86666666667,273.06666666666933,0.25,4/4,S,2,4,0
E5,24029.86666666667,24211.91111111111,182.04444444444016,0.25,4/4,B,2,4,0
A♯5,24211.91111111111,24667.022222222222,455.11111111111313,0.25,4/4,S,2,4,0
F♯5,24667.022222222222,24689.777777777777,22.755555555555475,0.25,4/4,B,2,4,0
C♯6,24689.777777777777,25076.622222222224,386.8444444444467,0.25,4/4,S,2,4,0
E5,25076.622222222224,25213.155555555557,136.53333333333285,0.25,4/4,B,2,4,0
D5,25213.155555555557,25486.22222222222,273.06666666666206,0.25,4/4,B,2,4,0
F♯5,25486.22222222222,25691.022222222222,204.8000000000029,0.25,4/4,S,2,4,0
B5,25691.022222222222,26100.62222222222,409.59999999999854,0.25,4/4,S,2,4,0
D5,26100.62222222222,26146.133333333335,45.51111111111459,0.25,4/4,B,2,4,0
E5,26146.133333333335,26373.68888888889,227.55555555555475,0.25,4/4,B,2,4,0
C♯6,26373.68888888889,26624.0,250.31111111111022,0.25,4/4,S,2,4,0
F♯5,26624.0,26828.800000000003,204.8000000000029,0.25,4/4,B,2,4,0
A♯5,26828.800000000003,27147.377777777776,318.577777777773,0.25,4/4,S,2,4,0
B4,27147.377777777776,27625.244444444445,477.8666666666686,0.25,4/4,B,2,5,0
C♯5,27625.244444444445,27648.0,22.755555555555475,0.25,4/4,x,2,5,0
D5,27648.0,27852.8,204.79999999999927,0.25,4/4,S,2,5,0
A4,27852.8,28103.111111111113,250.31111111111386,0.25,4/4,B,2,5,0
G♯4,28103.111111111113,28353.42222222222,250.31111111110658,0.25,4/4,B,2,5,0
D5,28353.42222222222,28580.977777777778,227.55555555555839,0.25,4/4,S,2,5,0
