Note,Onset (ms),Offset (ms),Time_duration (ms),Score_duration,Time-Signature,Voice,Movment,Measure,Repeated
0,0,11764.622222222222,11764.622222222222,0,0,.,x,x,.
A4,11764.622222222222,12947.91111111111,1183.2888888888883,1.0,3/4,x,1,1,0
C5,12947.91111111111,13949.155555555557,1001.2444444444463,1.0,3/4,x,1,1,0
E5,13949.155555555557,15155.2,1206.0444444444438,1.0,3/4,x,1,1,0
F4,15155.2,16588.8,1433.5999999999985,1.0,3/4,x,1,2,0
0,16588.8,16930.133333333335,341.33333333333576,0.25,3/4,.,1,2,0
E5,16930.133333333335,17294.22222222222,364.08888888888396,0.25,3/4,x,1,2,0
D5,17294.22222222222,17635.555555555555,341.33333333333576,0.25,3/4,x,1,2,0
C♯5,17635.555555555555,17817.6,182.0444444444438,0.25,3/4,x,1,2,0
D5,17817.6,18090.666666666668,273.06666666666933,0.25,3/4,x,1,2,0
F5,18090.666666666668,18386.48888888889,295.82222222222117,0.25,3/4,x,1,2,0
A5,18386.48888888889,18727.82222222222,341.3333333333321,0.25,3/4,x,1,2,0
D6,18727.82222222222,19228.444444444445,500.6222222222241,0.25,3/4,x,1,2,0
G4,19228.444444444445,20366.222222222223,1137.7777777777774,1.0,3/4,x,1,3,0
B4,20366.222222222223,21390.22222222222,1023.9999999999964,1.0,3/4,x,1,3,0
D5,21390.22222222222,22550.755555555555,1160.5333333333365,1.0,3/4,x,1,3,0
E4,22550.755555555555,23711.28888888889,1160.5333333333328,1.0,3/4,x,1,4,0
0,23711.28888888889,24029.86666666667,318.5777777777803,0.25,3/4,.,1,4,0
D5,24029.86666666667,24416.71111111111,386.84444444444307,0.25,3/4,x,1,4,0
C5,24416.71111111111,24598.755555555555,182.0444444444438,0.25,3/4,x,1,4,0
B4,24598.755555555555,24962.844444444447,364.08888888889123,0.25,3/4,x,1,4,0
C5,24962.844444444447,25213.155555555557,250.31111111111022,0.25,3/4,x,1,4,0
E5,25213.155555555557,25508.977777777774,295.82222222221753,0.25,3/4,x,1,4,0
G5,25508.977777777774,25804.8,295.8222222222248,0.25,3/4,x,1,4,0
C6,25804.8,26282.666666666668,477.8666666666686,0.25,3/4,x,1,4,0
F4,26282.666666666668,27306.666666666668,1024.0,1.0,3/4,x,1,5,0
A4,27306.666666666668,28307.91111111111,1001.2444444444409,1.0,3/4,x,1,5,0
C5,28307.91111111111,29582.222222222223,1274.3111111111139,1.0,3/4,x,1,5,0
D4,29582.222222222223,29991.82222222222,409.59999999999854,0.25,3/4,x,1,6,0
C5,29991.82222222222,30264.88888888889,273.06666666666933,0.25,3/4,x,1,6,0
B4,30264.88888888889,30515.2,250.31111111111022,0.25,3/4,x,1,6,0
A4,30515.2,30902.044444444447,386.8444444444467,0.25,3/4,x,1,6,0
C5,30902.044444444447,31243.377777777776,341.3333333333285,0.25,3/4,x,1,6,0
A4,31243.377777777776,31561.955555555556,318.5777777777803,0.25,3/4,x,1,6,0
G♯4,31561.955555555556,31971.555555555555,409.59999999999854,0.25,3/4,x,1,6,0
A4,31971.555555555555,32176.355555555554,204.79999999999927,0.25,3/4,x,1,6,0
G♯4,32176.355555555554,32540.444444444445,364.08888888889123,0.25,3/4,x,1,6,0
A4,32540.444444444445,32699.733333333334,159.28888888888832,0.25,3/4,x,1,6,0
G♯4,32699.733333333334,32995.555555555555,295.82222222222117,0.25,3/4,x,1,6,0
A4,32995.555555555555,33359.64444444444,364.0888888888876,0.25,3/4,x,1,6,0
E4,33359.64444444444,33814.75555555556,455.11111111111677,0.25,3/4,x,1,7,0
A4,33814.75555555556,34042.311111111114,227.55555555555475,0.25,3/4,x,1,7,0
G♯4,34042.311111111114,34292.62222222222,250.31111111110658,0.25,3/4,x,1,7,0
A4,34292.62222222222,34588.44444444444,295.82222222221753,0.25,3/4,x,1,7,0
C5,34588.44444444444,34975.28888888889,386.844444444454,0.25,3/4,x,1,7,0
A4,34975.28888888889,35225.6,250.31111111110658,0.25,3/4,x,1,7,0
G♯4,35225.6,35589.688888888886,364.0888888888876,0.25,3/4,x,1,7,0
A4,35589.688888888886,35794.48888888889,204.8000000000029,0.25,3/4,x,1,7,0
G♯4,35794.48888888889,36090.311111111114,295.8222222222248,0.25,3/4,x,1,7,0
A4,36090.311111111114,36386.13333333333,295.82222222221753,0.25,3/4,x,1,7,0
G♯4,36386.13333333333,36590.933333333334,204.8000000000029,0.25,3/4,x,1,7,0
A4,36590.933333333334,37023.28888888889,432.35555555555766,0.25,3/4,x,1,7,0
F4,37023.28888888889,37432.88888888889,409.59999999999854,0.25,3/4,x,1,8,0
A4,37432.88888888889,37728.71111111111,295.82222222221753,0.25,3/4,x,1,8,0
D5,37728.71111111111,38024.53333333333,295.8222222222248,0.25,3/4,x,1,8,0
F4,38024.53333333333,38297.600000000006,273.066666666673,0.25,3/4,x,1,8,0
A4,38297.600000000006,38616.177777777775,318.57777777776937,0.25,3/4,x,1,8,0
D5,38616.177777777775,38889.24444444444,273.0666666666657,0.25,3/4,x,1,8,0
F5,38889.24444444444,39139.555555555555,250.31111111111386,0.25,3/4,x,1,8,0
A4,39139.555555555555,39412.62222222223,273.066666666673,0.25,3/4,x,1,8,0
D5,39412.62222222223,39640.17777777778,227.55555555555475,0.25,3/4,x,1,8,0
F5,39640.17777777778,39867.73333333334,227.55555555555475,0.25,3/4,x,1,8,0
A5,39867.73333333334,40186.31111111111,318.57777777776937,0.25,3/4,x,1,8,0
D5,40186.31111111111,40391.11111111111,204.8000000000029,0.25,3/4,x,1,8,0
F5,40391.11111111111,40618.66666666667,227.55555555556202,0.25,3/4,x,1,9,0
A5,40618.66666666667,40937.24444444445,318.57777777777665,0.25,3/4,x,1,9,0
D6,40937.24444444445,41483.37777777777,546.1333333333241,0.25,3/4,x,1,9,0
F5,41483.37777777777,41506.13333333333,22.755555555559113,0.25,3/4,x,1,9,0
A5,41506.13333333333,41801.955555555556,295.8222222222248,0.25,3/4,x,1,9,0
D5,41801.955555555556,42075.02222222222,273.0666666666657,0.25,3/4,x,1,9,0
F5,42075.02222222222,42325.333333333336,250.31111111111386,0.25,3/4,x,1,9,0
A4,42325.333333333336,42734.93333333333,409.59999999999127,0.25,3/4,x,1,9,0
D5,42734.93333333333,43804.444444444445,1069.5111111111182,1.0,3/4,x,1,9,0
0,43804.444444444445,44873.955555555556,1069.511111111111,0.5,3/4,.,1,10,0
D4,44873.955555555556,45761.42222222222,887.4666666666672,0.5,3/4,x,1,10,0
A4,45761.42222222222,47172.26666666666,1410.8444444444394,1.5,3/4,x,1,10,0
G♯4,47172.26666666666,47331.555555555555,159.28888888889196,0.25,3/4,x,1,10,0
A4,47331.555555555555,47741.15555555556,409.6000000000058,0.25,3/4,x,1,10,0
G♯4,47741.15555555556,48219.02222222222,477.86666666666133,0.25,3/4,x,1,11,0
D♯5,48219.02222222222,48583.11111111111,364.0888888888876,0.25,3/4,x,1,11,0
E5,48583.11111111111,48878.933333333334,295.8222222222248,0.25,3/4,x,1,11,0
B4,48878.933333333334,49265.77777777778,386.8444444444467,0.25,3/4,x,1,11,0
G♯4,49265.77777777778,49470.57777777778,204.79999999999563,0.25,3/4,x,1,11,0
A4,49470.57777777778,49743.64444444444,273.0666666666657,0.25,3/4,x,1,11,0
B4,49743.64444444444,50130.48888888889,386.8444444444467,0.25,3/4,x,1,11,0
G♯4,50130.48888888889,50585.6,455.1111111111095,0.25,3/4,x,1,11,0
E4,50585.6,51905.42222222222,1319.8222222222248,1.0,3/4,x,1,11,0
0,51905.42222222222,53202.48888888889,1297.0666666666657,0,0,.,x,x,.
0,53202.48888888889,53225.24444444444,22.755555555551837,0.5,3/4,.,2,12,0
C5,53225.24444444444,53361.777777777774,136.53333333333285,0.25,3/4,S,2,12,0
D5,53361.777777777774,53452.8,91.02222222222917,0.25,3/4,S,2,12,0
